기간	자치구	합계	합계	합계	합계	합계	합계	노상	노상	노상	노상	노상	노상	노상	노상	노외	노외	노외	노외	노외	노외	노외	노외	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설
2013	성북구	13,121	150,535	198	8,605	12,923	141,930	142	7,073	142	7,073	1	26	141	7,047	141	3,507	2	39	54	1,493	85	1,975	12,838	139,955	6,527	15,396	2,722	88,349	3,589	36,210
2013	강북구	10,942	78,889	45	5,806	10,897	73,083	22	4,179	22	4,179	-	-	22	4,179	45	2,212	-	-	23	1,627	22	585	10,875	72,498	5,239	8,956	2,593	42,037	3,043	21,505
2013	도봉구	9,491	105,659	538	7,053	8,953	98,606	504	5,190	504	5,190	1	549	503	4,641	51	2,410	3	683	31	1,180	17	547	8,936	98,059	4,393	8,435	2,523	66,664	2,020	22,960
2013	노원구	6,049	162,377	174	3,885	5,875	158,492	152	2,465	152	2,465	2	122	150	2,343	44	2,820	4	402	18	1,018	22	1,400	5,853	157,092	2,094	6,525	1,523	113,041	2,236	37,526
2013	은평구	19,924	146,264	131	6,680	19,793	139,584	107	4,803	107	4,803	-	-	107	4,803	92	3,322	2	429	22	1,448	68	1,445	19,725	138,139	9,317	17,793	7,029	90,459	3,379	29,887
2013	서대문구	8,639	65,372	727	6,421	7,912	58,951	696	5,161	696	5,161	3	45	693	5,116	97	2,178	-	-	31	1,260	66	918	7,846	58,033	3,259	8,287	2,169	18,228	2,418	31,518
2013	마포구	14,770	164,597	553	7,381	14,217	157,216	537	5,204	537	5,204	1	13	536	5,191	52	3,486	1	602	15	1,575	36	1,309	14,181	155,907	5,533	13,903	3,284	70,661	5,364	71,343
2013	양천구	11,805	157,507	668	7,398	11,137	150,109	624	2,923	624	2,923	7	264	617	2,659	61	6,480	2	98	42	4,377	17	2,005	11,120	148,104	4,492	8,880	3,818	94,434	2,810	44,790
2013	강서구	17,266	223,968	738	8,913	16,528	215,055	710	5,978	710	5,978	2	563	708	5,415	49	4,064	8	653	20	2,282	21	1,129	16,507	213,926	6,508	15,224	5,879	119,483	4,120	79,219
2013	구로구	7,709	159,604	342	6,174	7,367	153,430	315	3,813	315	3,813	8	287	307	3,526	62	3,858	4	524	23	1,837	35	1,497	7,332	151,933	3,836	9,573	1,700	79,161	1,796	63,199
2013	금천구	9,327	107,473	619	5,037	8,708	102,436	595	3,544	595	3,544	3	86	592	3,458	48	2,251	1	129	23	1,364	24	758	8,684	101,678	4,780	10,144	1,560	31,276	2,344	60,258
2013	영등포구	10,841	160,221	2,730	9,630	8,111	150,591	2,702	6,928	2,702	6,928	9	370	2,693	6,558	71	5,575	3	448	25	2,254	43	2,873	8,068	147,718	4,787	8,424	1,270	68,447	2,011	70,847
2013	동작구	13,504	123,853	116	4,223	13,388	119,630	81	3,244	81	3,244	1	24	80	3,220	88	2,440	2	140	33	839	53	1,461	13,335	118,169	7,570	15,200	3,098	68,416	2,667	34,553
2013	관악구	20,373	139,587	1,292	8,334	19,081	131,253	1,262	6,808	1,262	6,808	1	74	1,261	6,734	75	2,720	1	33	29	1,493	45	1,194	19,036	130,059	10,323	21,151	3,814	69,445	4,899	39,463
2013	서초구	13,798	266,870	1,053	8,788	12,745	258,082	1,013	6,232	1,013	6,232	-	-	1,013	6,232	165	6,099	2	257	38	2,299	125	3,543	12,620	254,539	3,921	12,681	2,903	118,043	5,796	123,815
2013	강남구	20,892	368,420	101	14,907	20,791	353,513	69	10,460	69	10,460	4	109	65	10,351	235	10,150	5	911	27	3,536	203	5,703	20,588	347,810	7,068	26,344	3,548	136,318	9,972	185,148
2013	송파구	16,538	266,934	506	21,260	16,032	245,674	456	16,144	456	16,144	1	30	455	16,114	71	5,841	2	722	48	4,394	21	725	16,011	244,949	4,521	13,901	6,327	142,718	5,163	88,330
2013	강동구	14,782	162,910	34	12,385	14,748	150,525	21	9,303	21	9,303	-	-	21	9,303	37	4,060	2	1,441	11	1,641	24	978	14,724	149,547	8,638	18,570	2,863	87,803	3,223	43,174
