기간	자치구	합계	합계	합계	합계	합계	합계	노상	노상	노상	노상	노상	노상	노상	노상	노외	노외	노외	노외	노외	노외	노외	노외	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설
기간	자치구	계	계	공영	공영	민영	민영	계	계	요금부과별	요금부과별	운영주체별	운영주체별	운영주체별	운영주체별	계	계	시영	시영	구영	구영	민영	민영	계	계	일반주택	일반주택	공동주택	공동주택	일반건축물	일반건축물
기간	자치구	계	계	공영	공영	민영	민영	계	계	유료	유료	시영	시영	구영	구영	계	계	시영	시영	구영	구영	민영	민영	계	계	일반주택	일반주택	공동주택	공동주택	일반건축물	일반건축물
기간	자치구	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수
2013	서울시	299,941	3,760,461	13,107	204,134	286,834	3,556,327	12,331	143,573	12,331	143,573	76	4,990	12,255	138,583	2,064	104,303	61	11,743	715	48,818	1,288	43,742	285,546	3,512,585	131,135	315,563	72,248	1,830,980	82,163	1,366,042
2013	종로구	7,326	86,308	212	6,377	7,114	79,931	183	3,872	183	3,872	9	1,452	174	2,420	119	5,138	2	1,456	27	1,049	90	2,633	7,024	77,298	2,807	5,995	1,668	21,777	2,549	49,526
2013	중구	4,458	106,580	172	5,149	4,286	101,431	142	1,956	142	1,956	13	504	129	1,452	112	8,204	7	1,273	23	1,920	82	5,011	4,204	96,420	1,109	2,826	673	24,431	2,422	69,163
2013	용산구	7,201	107,448	413	7,269	6,788	100,179	378	4,228	378	4,228	3	69	375	4,159	76	4,255	4	893	31	2,148	41	1,214	6,747	98,965	2,977	9,950	1,849	52,806	1,921	36,209
2013	성동구	6,811	110,199	292	9,067	6,519	101,132	273	7,081	273	7,081	1	41	272	7,040	62	3,277	-	-	19	1,986	43	1,291	6,476	99,841	3,013	5,502	851	56,019	2,612	38,320
2013	광진구	14,489	109,012	56	5,852	14,433	103,160	20	4,122	20	4,122	1	18	19	4,104	73	2,785	-	-	36	1,730	37	1,055	14,396	102,105	10,194	29,936	2,757	41,906	1,445	30,263
2013	동대문구	9,907	120,256	842	7,161	9,065	113,095	813	5,064	813	5,064	3	236	810	4,828	57	3,054	1	80	28	2,017	28	957	9,037	112,138	3,443	10,685	3,771	69,682	1,823	31,771
2013	중랑구	9,978	109,618	555	10,379	9,423	99,239	514	7,798	514	7,798	2	108	512	7,690	81	4,117	3	530	38	2,051	40	1,536	9,383	97,703	4,786	11,282	2,056	59,376	2,541	27,045
