기간	자치구	합계	합계	합계	합계	합계	합계	노상	노상	노상	노상	노상	노상	노외	노외	노외	노외	노외	노외	노외	노외	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설
2016	은평구	20,018	157,635	134	6,310	19,884	151,325	109	4,257	2	36	107	4,221	104	3,698	1	401	24	1,652	79	1,645	19,805	149,680	8,832	16,769	7,782	103,605	3,191	29,306
2016	서대문구	11,525	115,378	668	7,354	10,857	108,024	626	5,760	2	18	624	5,742	81	2,192	1	27	41	1,567	39	598	10,818	107,426	3,166	48,961	5,073	15,738	2,579	42,727
2016	마포구	13,818	166,655	42	6,611	13,776	160,044	26	4,648	-	-	26	4,648	85	4,609	2	521	14	1,442	69	2,646	13,707	157,398	5,400	11,132	3,453	80,667	4,854	65,599
2016	양천구	11,944	161,764	687	6,944	11,257	154,820	645	3,227	1	32	644	3,195	53	5,219	3	177	39	3,540	11	1,502	11,246	153,318	4,269	8,354	4,239	103,698	2,738	41,266
2016	강서구	18,456	245,727	727	8,384	17,729	237,343	696	5,033	2	150	694	4,883	55	4,761	9	1,040	22	2,311	24	1,410	17,705	235,933	6,931	12,695	6,708	138,143	4,066	85,095
2016	구로구	10,218	156,050	354	5,818	9,864	150,232	329	3,789	9	224	320	3,565	62	3,467	3	513	22	1,516	37	1,438	9,827	148,794	5,134	7,733	2,474	81,879	2,219	59,182
2016	금천구	9,576	116,984	50	4,729	9,526	112,255	26	3,184	2	72	24	3,112	41	2,135	1	129	23	1,416	17	590	9,509	111,665	4,923	9,630	2,023	36,152	2,563	65,883
2016	영등포구	10,025	168,428	2,222	10,964	7,803	157,464	2,188	6,664	9	270	2,179	6,394	67	6,499	3	1,181	31	3,119	33	2,199	7,770	155,265	4,728	8,248	1,299	72,477	1,743	74,540
2016	동작구	13,272	119,103	116	4,132	13,156	114,971	77	2,986	1	24	76	2,962	83	2,402	2	138	37	1,008	44	1,256	13,112	113,715	7,016	12,276	3,640	74,887	2,456	26,552
2016	관악구	19,639	146,646	62	7,764	19,577	138,882	28	6,073	1	67	27	6,006	84	2,747	1	33	33	1,658	50	1,056	19,527	137,826	10,191	21,600	4,376	76,076	4,960	40,150
2016	서초구	13,435	279,729	872	8,429	12,563	271,300	829	5,825	1	50	828	5,775	106	8,061	1	185	42	2,419	63	5,457	12,500	265,843	3,934	13,175	2,957	137,613	5,609	115,055
2016	강남구	20,304	385,848	102	15,416	20,202	370,432	69	9,914	4	108	65	9,806	115	8,406	5	932	28	4,570	82	2,904	20,120	367,528	6,488	24,597	3,909	145,307	9,723	197,624
2016	송파구	18,090	292,077	628	22,594	17,462	269,483	488	16,488	1	30	487	16,458	163	6,979	3	944	137	5,162	23	873	17,439	268,610	5,247	15,103	7,259	164,955	4,933	88,552
2016	강동구	14,767	169,764	35	11,921	14,732	157,843	22	8,895	-	-	22	8,895	32	3,827	2	1,441	11	1,585	19	801	14,713	157,042	7,949	19,232	3,571	93,673	3,193	44,137
