기간	자치구	합계	합계	합계	합계	합계	합계	노상	노상	노상	노상	노상	노상	노외	노외	노외	노외	노외	노외	노외	노외	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설
기간	자치구	계	계	공영	공영	민영	민영	계	계	시영	시영	구영	구영	계	계	시영	시영	구영	구영	민영	민영	계	계	일반주택	일반주택	공동주택	공동주택	일반건축물	일반건축물
기간	자치구	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수
2016	서울시	308,574	3,983,291	9,376	202,676	299,198	3,780,615	8,445	134,380	79	2,456	8,366	131,924	2,019	110,575	65	14,741	866	53,555	1,088	42,279	298,110	3,738,336	130,107	330,531	82,610	1,996,411	85,393	1,411,394
2016	종로구	7,224	78,985	184	6,592	7,040	72,393	151	2,716	10	400	141	2,316	104	6,409	6	2,831	27	1,045	71	2,533	6,969	69,860	2,864	5,056	1,546	19,530	2,559	45,274
2016	중구	4,208	102,938	185	6,298	4,023	96,640	151	1,952	21	476	130	1,476	154	9,609	5	1,177	29	3,169	120	5,263	3,903	91,377	943	2,524	665	24,613	2,295	64,240
2016	용산구	7,194	102,472	420	7,205	6,774	95,267	370	4,074	3	58	367	4,016	91	4,309	4	857	46	2,274	41	1,178	6,733	94,089	2,840	6,277	1,983	53,308	1,910	34,504
2016	성동구	6,590	122,659	303	9,233	6,287	113,426	280	6,852	2	58	278	6,794	68	3,877	-	-	23	2,381	45	1,496	6,242	111,930	2,843	5,182	865	66,333	2,534	40,415
2016	광진구	15,933	118,742	55	5,419	15,878	113,323	20	3,684	1	18	19	3,666	60	2,583	-	-	35	1,735	25	848	15,853	112,475	8,635	20,582	3,552	51,104	3,666	40,789
2016	동대문구	9,622	128,517	59	6,688	9,563	121,829	29	4,633	2	134	27	4,499	72	3,030	2	159	28	1,896	42	975	9,521	120,854	4,140	8,785	1,387	57,798	3,994	54,271
2016	중랑구	11,847	120,644	538	10,414	11,309	110,230	502	7,549	1	63	501	7,486	76	4,401	2	417	34	2,448	40	1,536	11,269	108,694	5,781	12,255	2,775	66,379	2,713	30,060
2016	성북구	12,943	150,343	189	8,063	12,754	142,280	124	6,352	1	26	123	6,326	117	3,062	1	21	64	1,690	52	1,351	12,702	140,929	6,131	13,971	2,890	89,158	3,681	37,800
2016	강북구	11,813	89,323	47	5,285	11,766	84,038	23	3,527	1	20	22	3,507	44	2,531	-	-	24	1,758	20	773	11,746	83,265	5,152	8,907	3,734	51,464	2,860	22,894
2016	도봉구	9,509	111,205	526	6,388	8,983	104,817	489	3,947	-	-	489	3,947	61	3,110	4	1,216	33	1,225	24	669	8,959	104,148	4,169	9,864	2,763	70,413	2,027	23,871
2016	노원구	6,604	175,675	171	3,721	6,433	171,954	148	2,351	2	122	146	2,229	41	2,652	4	401	19	969	18	1,282	6,415	170,672	2,401	7,623	1,687	121,441	2,327	41,608
