기간	자치구	합계	합계	합계	합계	승용차	승용차	승용차	승용차	승합차	승합차	승합차	승합차	화물차	화물차	화물차	화물차	특수차	특수차	특수차	특수차	이륜차	이륜차	이륜차
기간	자치구	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용
2018	서울시	3,124,651	12,240	2,906,642	205,769	2,658,637	4,549	2,526,699	127,389	120,780	3,421	101,002	16,357	337,241	3,909	276,323	57,009	7,993	361	2,618	5,014	447,559	4,520	443,039
2018	종로구	50,732	3,859	45,207	1,666	41,209	1,763	38,959	487	3,919	1,626	1,978	315	5,420	378	4,231	811	184	92	39	53	13,151	417	12,734
2018	중구	51,813	1,058	45,977	4,778	41,046	278	38,205	2,563	3,286	576	2,416	294	7,260	187	5,276	1,797	221	17	80	124	14,603	241	14,362
2018	용산구	77,515	368	74,888	2,259	67,628	140	66,464	1,024	2,596	55	2,452	89	7,155	162	5,892	1,101	136	11	80	45	16,016	199	15,817
2018	성동구	106,094	318	96,092	9,684	90,672	97	83,654	6,921	4,075	46	2,980	1,049	11,168	159	9,399	1,610	179	16	59	104	20,618	112	20,506
2018	광진구	100,552	282	94,290	5,980	83,785	87	80,190	3,508	3,910	38	3,172	700	12,575	151	10,891	1,533	282	6	37	239	18,341	196	18,145
2018	동대문구	98,324	315	92,689	5,320	81,128	105	78,039	2,984	3,919	56	3,719	144	13,097	142	10,864	2,091	180	12	67	101	23,766	198	23,568
2018	중랑구	114,022	213	104,092	9,717	93,071	63	86,924	6,084	4,930	32	4,363	535	15,601	102	12,724	2,775	420	16	81	323	24,270	109	24,161
2018	성북구	116,543	286	110,754	5,503	99,950	96	97,220	2,634	5,362	38	4,168	1,156	11,078	143	9,313	1,622	153	9	53	91	26,271	184	26,087
2018	강북구	77,365	301	72,325	4,739	63,826	96	61,092	2,638	4,039	51	3,249	739	9,344	139	7,945	1,260	156	15	39	102	21,782	65	21,717
2018	도봉구	97,308	254	89,465	7,589	82,138	86	76,874	5,178	3,928	38	3,454	436	11,020	124	9,071	1,825	222	6	66	150	14,742	158	14,584
2018	노원구	153,620	295	144,063	9,262	133,873	80	127,709	6,084	5,865	50	4,895	920	13,539	156	11,389	1,994	343	9	70	264	14,957	41	14,916
2018	은평구	129,647	269	122,249	7,129	110,499	93	106,223	4,183	5,423	37	4,599	787	13,457	127	11,354	1,976	268	12	73	183	20,911	102	20,809
2018	서대문구	86,753	449	80,677	5,627	74,370	195	71,059	3,116	3,431	102	2,895	434	8,643	141	6,665	1,837	309	11	58	240	14,896	160	14,736
2018	마포구	117,991	333	110,743	6,915	101,087	96	96,997	3,994	4,419	53	3,619	747	12,245	167	10,023	2,055	240	17	104	119	17,075	182	16,893
2018	양천구	150,521	322	141,629	8,570	129,001	125	124,190	4,686	5,274	54	4,437	783	15,693	135	12,875	2,683	553	8	127	418	18,608	157	18,451
2018	강서구	204,466	326	186,482	17,658	174,547	114	162,062	12,371	7,855	42	6,339	1,474	21,637	158	17,931	3,548	427	12	150	265	18,542	172	18,370
2018	구로구	144,440	283	129,451	14,706	120,003	89	108,837	11,077	6,474	53	5,709	712	17,615	132	14,757	2,726	348	9	148	191	15,844	197	15,647
2018	금천구	87,063	125	81,022	5,916	68,981	34	65,901	3,046	4,473	13	3,966	494	13,457	75	11,093	2,289	152	3	62	87	11,541	40	11,501
2018	영등포구	143,940	365	134,034	9,541	117,556	133	113,029	4,394	5,526	44	5,183	299	19,701	176	15,304	4,221	1,157	12	518	627	16,361	164	16,197
2018	동작구	105,476	308	102,357	2,811	92,708	97	91,371	1,240	3,471	50	3,288	133	8,917	147	7,620	1,150	380	14	78	288	14,962	190	14,772
2018	관악구	121,430	306	115,564	5,560	103,598	95	100,408	3,095	4,884	38	4,562	284	12,686	162	10,527	1,997	262	11	67	184	24,514	256	24,258
2018	서초구	182,123	587	168,412	13,124	159,429	249	152,133	7,047	5,214	149	4,270	795	17,128	177	11,840	5,111	352	12	169	171	13,189	279	12,910
2018	강남구	235,314	373	215,232	19,709	212,076	133	195,292	16,651	6,352	48	5,402	902	16,495	176	14,326	1,993	391	16	212	163	16,795	311	16,484
2018	송파구	236,179	382	222,420	13,377	201,641	125	194,619	6,897	7,311	92	5,633	1,586	26,836	155	22,045	4,636	391	10	123	258	19,487	235	19,252
2018	강동구	135,420	263	126,528	8,629	114,815	80	109,248	5,487	4,844	40	4,254	550	15,474	138	12,968	2,368	287	5	58	224	16,305	155	16,150
2018	기타	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12	-	12
