기간	자치구	합계	합계	합계	합계	승용차	승용차	승용차	승용차	승합차	승합차	승합차	승합차	화물차	화물차	화물차	화물차	특수차	특수차	특수차	특수차	이륜차	이륜차	이륜차
기간	자치구	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용
2012	서울시	2,969,184	10,858	2,759,567	198,759	2,447,876	4,130	2,317,853	125,893	162,723	2,769	142,335	17,619	353,905	3,617	298,079	52,209	4,680	342	1,300	3,038	444,693	4,256	440,437
2012	종로구	51,521	3,616	46,201	1,704	40,068	1,906	37,716	446	4,581	1,255	2,970	356	6,739	371	5,491	877	133	84	24	25	13,559	284	13,275
2012	중구	64,816	910	55,496	8,410	52,242	266	45,937	6,039	4,262	456	3,284	522	8,072	176	6,175	1,721	240	12	100	128	14,559	179	14,380
2012	용산구	76,131	401	73,723	2,007	64,821	187	63,584	1,050	3,610	47	3,492	71	7,647	155	6,634	858	53	12	13	28	16,403	184	16,219
2012	성동구	87,704	247	82,377	5,080	71,724	59	68,651	3,014	4,502	39	4,029	434	11,359	140	9,664	1,555	119	9	33	77	19,946	136	19,810
2012	광진구	94,696	262	89,047	5,387	76,980	70	73,857	3,053	5,478	36	4,760	682	12,070	147	10,416	1,507	168	9	14	145	18,556	150	18,406
2012	동대문구	92,373	277	86,788	5,308	72,470	87	69,682	2,701	5,483	52	5,204	227	14,296	129	11,870	2,297	124	9	32	83	23,859	196	23,663
2012	중랑구	104,019	183	95,191	8,645	81,267	38	75,781	5,448	6,693	28	6,145	520	15,851	102	13,242	2,507	208	15	23	170	24,218	101	24,117
2012	성북구	116,339	227	110,684	5,428	96,465	63	93,667	2,735	7,383	29	6,335	1,019	12,422	125	10,665	1,632	69	10	17	42	26,424	122	26,302
2012	강북구	74,722	290	69,680	4,752	59,371	81	56,764	2,526	5,449	43	4,654	752	9,834	149	8,247	1,438	68	17	15	36	21,764	159	21,605
2012	도봉구	93,759	177	86,108	7,474	77,334	45	71,630	5,659	5,594	39	5,021	534	10,714	86	9,431	1,197	117	7	26	84	14,744	25	14,719
2012	노원구	153,969	235	144,268	9,466	130,892	47	124,097	6,748	8,309	39	7,454	816	14,612	139	12,694	1,779	156	10	23	123	15,173	130	15,043
2012	은평구	121,614	193	114,990	6,431	99,814	54	95,720	4,040	7,483	30	6,772	681	14,191	102	12,475	1,614	126	7	23	96	20,858	106	20,752
2012	서대문구	79,020	380	74,081	4,559	65,397	165	62,656	2,576	4,605	63	4,133	409	8,909	142	7,262	1,505	109	10	30	69	14,653	167	14,486
2012	마포구	110,752	281	103,543	6,928	90,726	64	87,134	3,528	6,127	42	5,294	791	13,615	158	11,025	2,432	284	17	90	177	17,619	199	17,420
2012	양천구	146,867	277	137,634	8,956	121,546	97	116,443	5,006	7,922	43	6,758	1,121	16,986	129	14,338	2,519	413	8	95	310	17,561	159	17,402
2012	강서구	176,671	285	159,045	17,341	145,627	78	132,343	13,206	9,932	37	8,598	1,297	20,828	157	18,018	2,653	284	13	86	185	17,770	174	17,596
2012	구로구	130,554	223	120,208	10,123	104,696	55	98,273	6,368	8,082	44	6,694	1,344	17,655	114	15,198	2,343	121	10	43	68	15,133	69	15,064
2012	금천구	75,581	99	70,435	5,047	57,347	23	54,877	2,447	4,974	9	4,526	439	13,192	66	11,008	2,118	68	1	24	43	11,464	185	11,279
2012	영등포구	137,267	305	128,007	8,955	105,760	99	101,750	3,911	7,225	36	6,685	504	23,734	156	19,357	4,221	548	14	215	319	17,416	204	17,212
2012	동작구	98,689	257	95,753	2,679	84,008	59	82,655	1,294	4,647	46	4,487	114	9,914	139	8,567	1,208	120	13	44	63	15,388	196	15,192
2012	관악구	118,990	287	112,928	5,775	98,434	67	94,855	3,512	6,736	60	6,338	338	13,683	151	11,718	1,814	137	9	17	111	23,900	269	23,631
2012	서초구	172,223	647	159,493	12,083	147,115	311	140,543	6,261	6,739	147	5,718	874	18,048	177	13,115	4,756	321	12	117	192	12,527	285	12,242
2012	강남구	237,373	281	210,193	26,899	209,739	89	186,302	23,348	9,147	38	7,645	1,464	18,242	133	16,145	1,964	245	21	101	123	16,485	187	16,298
2012	송파구	213,658	327	202,602	10,729	179,108	76	173,654	5,378	10,020	81	8,384	1,555	24,312	163	20,506	3,643	218	7	58	153	17,457	242	17,215
2012	강동구	139,876	191	131,092	8,593	114,925	44	109,282	5,599	7,740	30	6,955	755	16,980	111	14,818	2,051	231	6	37	188	17,239	148	17,091
2012	기타	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18	-	18
