기간	자치구	합계	합계	합계	합계	승용차	승용차	승용차	승용차	승합차	승합차	승합차	승합차	화물차	화물차	화물차	화물차	특수차	특수차	특수차	특수차	이륜차	이륜차	이륜차
기간	자치구	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용
2014	서울시	3,013,541	11,178	2,806,469	195,894	2,510,742	4,191	2,387,614	118,937	149,991	3,003	129,525	17,463	346,980	3,630	287,737	55,613	5,828	354	1,593	3,881	456,646	4,783	451,863
2014	종로구	50,315	3,786	44,671	1,858	39,473	1,972	37,040	461	4,418	1,356	2,690	372	6,142	375	4,916	851	282	83	25	174	13,724	311	13,413
2014	중구	55,277	990	48,856	5,431	43,160	240	39,714	3,206	3,982	558	3,083	341	7,813	179	5,951	1,683	322	13	108	201	14,869	243	14,626
2014	용산구	75,450	397	72,893	2,160	64,588	183	63,240	1,165	3,349	52	3,227	70	7,453	151	6,408	894	60	11	18	31	16,689	217	16,472
2014	성동구	91,347	263	85,554	5,530	75,687	75	72,303	3,309	4,182	33	3,710	439	11,325	145	9,496	1,684	153	10	45	98	20,371	110	20,261
2014	광진구	94,798	261	89,228	5,309	77,884	68	75,070	2,746	4,983	39	4,233	711	11,683	146	9,910	1,627	248	8	15	225	18,801	191	18,610
2014	동대문구	95,301	269	89,165	5,867	75,999	85	72,947	2,967	5,126	52	4,740	334	14,001	121	11,441	2,439	175	11	37	127	24,471	265	24,206
2014	중랑구	107,913	181	98,666	9,066	85,697	41	79,946	5,710	6,263	29	5,687	547	15,726	95	12,990	2,641	227	16	43	168	24,862	108	24,754
2014	성북구	115,738	216	110,084	5,438	96,965	60	94,294	2,611	6,733	31	5,653	1,049	11,920	114	10,112	1,694	120	11	25	84	26,849	162	26,687
2014	강북구	74,554	269	69,524	4,761	59,962	83	57,200	2,679	4,971	44	4,162	765	9,498	125	8,129	1,244	123	17	33	73	21,959	68	21,891
2014	도봉구	94,430	223	86,441	7,766	78,402	55	72,891	5,456	4,956	38	4,425	493	10,918	123	9,092	1,703	154	7	33	114	15,071	161	14,910
2014	노원구	152,935	239	143,363	9,333	131,062	50	124,704	6,308	7,421	43	6,560	818	14,227	137	12,055	2,035	225	9	44	172	15,381	137	15,244
2014	은평구	124,126	204	117,021	6,901	102,972	58	98,875	4,039	6,818	33	6,044	741	14,165	105	12,073	1,987	171	8	29	134	21,439	161	21,278
2014	서대문구	79,582	385	74,573	4,624	66,586	163	63,801	2,622	4,210	70	3,770	370	8,665	136	6,974	1,555	121	16	28	77	14,841	173	14,668
2014	마포구	114,870	290	106,313	8,267	95,458	66	90,627	4,765	5,772	43	4,866	863	13,349	164	10,725	2,460	291	17	95	179	17,988	180	17,808
2014	양천구	147,457	289	138,042	9,126	123,237	104	118,247	4,886	7,107	46	5,946	1,115	16,675	130	13,754	2,791	438	9	95	334	17,837	144	17,693
2014	강서구	185,303	277	170,785	14,241	154,340	76	144,451	9,813	9,375	39	7,935	1,401	21,278	151	18,300	2,827	310	11	99	200	18,561	183	18,378
2014	구로구	137,199	220	124,507	12,472	111,616	55	103,050	8,511	7,593	48	6,384	1,161	17,774	108	14,993	2,673	216	9	80	127	15,959	63	15,896
2014	금천구	80,823	104	72,709	8,010	62,893	24	57,605	5,264	4,782	8	4,305	469	13,059	70	10,770	2,219	89	2	29	58	11,860	209	11,651
2014	영등포구	139,731	291	130,103	9,337	110,961	80	106,596	4,285	6,621	40	6,121	460	21,577	155	17,138	4,284	572	16	248	308	17,348	224	17,124
2014	동작구	101,536	265	98,502	2,769	87,454	63	86,168	1,223	4,288	51	4,124	113	9,523	139	8,130	1,254	271	12	80	179	15,549	224	15,325
2014	관악구	118,922	257	112,963	5,702	99,275	62	95,908	3,305	6,101	34	5,758	309	13,374	151	11,266	1,957	172	10	31	131	24,625	285	24,340
2014	서초구	179,331	630	167,423	11,278	154,497	293	148,986	5,218	6,694	154	5,574	966	17,834	170	12,739	4,925	306	13	124	169	14,085	271	13,814
2014	강남구	240,693	338	219,172	21,183	212,992	104	195,473	17,415	8,502	49	7,190	1,263	18,898	164	16,386	2,348	301	21	123	157	17,536	295	17,241
2014	송파구	215,990	328	204,752	10,910	183,153	85	177,518	5,550	9,138	81	7,455	1,602	23,457	154	19,709	3,594	242	8	70	164	18,497	243	18,254
2014	강동구	139,920	206	131,159	8,555	116,429	46	110,960	5,423	6,606	32	5,883	691	16,646	122	14,280	2,244	239	6	36	197	17,456	155	17,301
2014	기타	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18	-	18
