기간	자치구	합계	합계	합계	합계	합계	합계	노상	노상	노상	노상	노상	노상	노상	노상	노외	노외	노외	노외	노외	노외	노외	노외	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설
2014	성북구	14,628	150,959	1,640	8,418	12,988	142,541	1,599	7,162	1,599	7,162	1	26	1,598	7,136	126	3,231	2	39	39	1,217	85	1,975	12,903	140,566	6,534	15,428	2,772	88,834	3,597	36,304
2014	강북구	10,475	83,745	46	5,389	10,429	78,356	22	3,631	22	3,631	-	-	22	3,631	41	2,149	-	-	24	1,758	17	391	10,412	77,965	5,575	10,844	2,782	48,286	2,055	18,835
2014	도봉구	9,601	107,822	526	6,860	9,075	100,962	491	4,449	491	4,449	-	-	491	4,449	56	3,043	4	1,231	31	1,180	21	632	9,054	100,330	4,407	8,536	2,651	67,951	1,996	23,843
2014	노원구	6,423	164,660	160	3,725	6,263	160,935	137	2,365	137	2,365	2	122	135	2,243	45	2,781	4	402	19	958	22	1,421	6,241	159,514	2,393	7,115	1,608	115,397	2,240	37,002
2014	은평구	20,155	148,824	131	6,574	20,024	142,250	108	4,727	108	4,727	1	28	107	4,699	93	3,313	1	401	22	1,446	70	1,466	19,954	140,784	9,282	17,765	7,284	92,913	3,388	30,106
2014	서대문구	7,905	61,473	726	6,548	7,179	54,925	694	5,379	694	5,379	2	18	692	5,361	80	2,022	1	27	31	1,142	48	853	7,131	54,072	3,090	7,808	1,952	24,474	2,089	21,790
2014	마포구	14,914	167,992	553	7,265	14,361	160,727	535	5,058	535	5,058	-	-	535	5,058	57	3,902	2	534	16	1,673	39	1,695	14,322	159,032	5,532	13,999	3,368	71,458	5,422	73,575
2014	양천구	11,806	156,364	625	6,934	11,181	149,430	581	2,859	581	2,859	7	264	574	2,595	58	5,840	3	177	41	3,898	14	1,765	11,167	147,665	4,516	8,851	3,820	94,532	2,831	44,282
2014	강서구	18,370	238,350	738	8,662	17,632	229,688	709	5,328	709	5,328	1	164	708	5,164	50	4,463	9	1,052	20	2,282	21	1,129	17,611	228,559	7,148	16,168	6,271	132,025	4,192	80,366
2014	구로구	7,730	158,927	322	5,478	7,408	153,449	304	3,365	304	3,365	9	230	295	3,135	50	3,535	3	513	15	1,600	32	1,422	7,376	152,027	3,880	9,667	1,700	79,161	1,796	63,199
2014	금천구	9,388	109,921	617	4,944	8,771	104,977	593	3,483	593	3,483	2	72	591	3,411	48	2,219	1	129	23	1,332	24	758	8,747	104,219	4,777	10,123	1,623	31,936	2,347	62,160
2014	영등포구	10,845	161,511	2,734	10,813	8,111	150,698	2,702	6,916	2,702	6,916	10	381	2,692	6,535	75	6,877	3	1,235	29	2,662	43	2,980	8,068	147,718	4,787	8,424	1,270	68,447	2,011	70,847
2014	동작구	13,880	124,347	118	4,346	13,762	120,001	80	3,245	80	3,245	1	24	79	3,221	82	2,352	2	140	36	961	44	1,251	13,718	118,750	7,953	15,656	3,098	68,416	2,667	34,678
2014	관악구	20,009	141,483	1,308	8,529	18,701	132,954	1,274	6,666	1,274	6,666	1	70	1,273	6,596	84	2,933	2	218	32	1,645	50	1,070	18,651	131,884	9,731	20,503	4,014	71,837	4,906	39,544
2014	서초구	13,765	267,147	1,054	9,172	12,711	257,975	1,014	6,285	1,014	6,285	1	50	1,013	6,235	165	6,430	1	207	39	2,680	125	3,543	12,586	254,432	3,890	12,573	2,903	118,043	5,793	123,816
2014	강남구	20,913	373,624	108	15,522	20,805	358,102	72	10,221	72	10,221	4	108	68	10,113	238	10,704	5	911	31	4,390	202	5,403	20,603	352,699	6,978	26,459	3,576	136,706	10,049	189,534
2014	송파구	17,137	269,954	604	21,626	16,533	248,328	483	15,342	483	15,342	1	30	482	15,312	142	6,771	3	944	118	5,340	21	487	16,512	247,841	4,782	13,884	6,747	146,523	4,983	87,434
2014	강동구	12,949	158,783	34	12,180	12,915	146,603	21	9,098	21	9,098	-	-	21	9,098	33	3,821	2	1,441	11	1,641	20	739	12,895	145,864	6,878	16,053	3,064	91,662	2,953	38,149
