기간	자치구	합계	합계	합계	합계	합계	합계	노상	노상	노상	노상	노상	노상	노상	노상	노외	노외	노외	노외	노외	노외	노외	노외	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설
기간	자치구	계	계	공영	공영	민영	민영	계	계	요금부과별	요금부과별	운영주체별	운영주체별	운영주체별	운영주체별	계	계	시영	시영	구영	구영	민영	민영	계	계	일반주택	일반주택	공동주택	공동주택	일반건축물	일반건축물
기간	자치구	계	계	공영	공영	민영	민영	계	계	유료	유료	시영	시영	구영	구영	계	계	시영	시영	구영	구영	민영	민영	계	계	일반주택	일반주택	공동주택	공동주택	일반건축물	일반건축물
기간	자치구	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수
2014	서울시	302,719	3,821,527	13,694	203,198	289,025	3,618,329	12,836	136,723	12,836	136,723	75	2,705	12,761	134,018	2,157	111,495	68	15,357	790	51,118	1,299	45,020	287,726	3,573,309	131,715	316,560	74,951	1,888,901	81,060	1,367,848
2014	종로구	7,321	86,477	206	6,454	7,115	80,023	167	2,442	167	2,442	5	197	162	2,245	118	6,716	7	2,915	32	1,097	79	2,704	7,036	77,319	2,819	6,016	1,668	21,777	2,549	49,526
2014	중구	4,371	107,330	63	4,323	4,308	103,007	35	1,096	35	1,096	18	547	17	549	113	9,202	4	1,236	24	1,991	85	5,975	4,223	97,032	1,098	2,783	684	25,541	2,441	68,708
2014	용산구	7,256	108,234	412	7,271	6,844	100,963	377	4,230	377	4,230	2	56	375	4,174	77	4,238	4	893	31	2,148	42	1,197	6,802	99,766	2,978	9,954	1,892	54,308	1,932	35,504
2014	성동구	6,842	117,670	306	9,353	6,536	108,317	276	6,800	276	6,800	2	58	274	6,742	70	3,832	-	-	30	2,553	40	1,279	6,496	107,038	2,993	6,153	864	61,463	2,639	39,422
2014	광진구	15,340	117,023	53	5,782	15,287	111,241	20	4,091	20	4,091	1	18	19	4,073	116	3,919	-	-	33	1,691	83	2,228	15,204	109,013	10,457	29,113	3,142	44,683	1,605	35,217
2014	동대문구	9,254	121,844	60	6,889	9,194	114,955	30	4,788	30	4,788	2	134	28	4,654	62	3,222	2	182	28	1,919	32	1,121	9,162	113,834	3,464	10,786	3,842	70,684	1,856	32,364
2014	중랑구	11,442	117,063	550	10,141	10,892	106,922	512	7,697	512	7,697	2	108	510	7,589	78	3,980	3	530	35	1,914	40	1,536	10,852	105,386	5,773	11,899	2,356	61,844	2,723	31,643
