기간	자치구	합계	합계	합계	합계	승용차	승용차	승용차	승용차	승합차	승합차	승합차	승합차	화물차	화물차	화물차	화물차	특수차	특수차	특수차	특수차	이륜차	이륜차	이륜차
기간	자치구	계	관용	자가용	영업용	계	관용	자가용	영업용	계	관용	자가용	영업용	계	관용	자가용	영업용	계	관용	자가용	영업용	계	관용	자가용
2011	서울시	2,977,599	10,815	2,756,126	210,658	2,443,261	4,196	2,301,512	137,553	169,922	2,610	149,704	17,608	360,103	3,696	303,713	52,694	4,313	313	1,197	2,803	410,090	3,861	406,229
2011	종로구	52,047	3,633	46,583	1,831	40,480	1,991	37,792	697	4,708	1,182	3,086	440	6,746	382	5,692	672	113	78	13	22	12,842	284	12,558
2011	중구	61,378	839	53,876	6,663	48,976	260	44,284	4,432	4,112	394	3,305	413	8,087	173	6,198	1,716	203	12	89	102	13,712	137	13,575
2011	용산구	76,714	412	74,101	2,201	64,849	194	63,706	949	3,802	45	3,669	88	7,990	163	6,713	1,114	73	10	13	50	15,486	163	15,323
2011	성동구	87,217	248	81,967	5,002	70,934	63	67,895	2,976	4,587	38	4,194	355	11,579	138	9,853	1,588	117	9	25	83	18,674	73	18,601
2011	광진구	94,340	255	88,663	5,422	76,097	67	73,038	2,992	5,899	33	5,107	759	12,186	148	10,498	1,540	158	7	20	131	17,419	147	17,272
2011	동대문구	91,684	283	86,094	5,307	71,692	87	68,837	2,768	5,660	56	5,351	253	14,224	131	11,875	2,218	108	9	31	68	22,376	209	22,167
2011	중랑구	104,071	199	95,162	8,710	80,577	41	75,074	5,462	7,061	28	6,515	518	16,224	116	13,550	2,558	209	14	23	172	22,603	97	22,506
2011	성북구	116,240	228	110,488	5,524	95,759	59	92,887	2,813	7,647	28	6,640	979	12,766	131	10,937	1,698	68	10	24	34	24,829	119	24,710
2011	강북구	74,135	260	69,255	4,620	58,402	76	55,903	2,423	5,658	33	4,881	744	10,021	141	8,454	1,426	54	10	17	27	20,447	127	20,320
2011	도봉구	94,426	183	86,641	7,602	77,441	43	71,612	5,786	5,880	42	5,318	520	11,003	91	9,691	1,221	102	7	20	75	13,803	26	13,777
2011	노원구	155,244	226	145,385	9,633	131,240	48	124,267	6,925	8,859	37	8,007	815	15,019	133	13,083	1,803	126	8	28	90	13,792	115	13,677
2011	은평구	118,571	192	112,105	6,274	96,478	54	92,565	3,859	7,748	29	6,993	726	14,250	103	12,521	1,626	95	6	26	63	18,981	92	18,889
2011	서대문구	78,039	374	73,196	4,469	64,111	162	61,447	2,502	4,792	55	4,312	425	9,039	148	7,411	1,480	97	9	26	62	13,685	159	13,526
2011	마포구	111,398	291	104,309	6,798	90,956	65	87,444	3,447	6,259	42	5,529	688	13,924	168	11,268	2,488	259	16	68	175	16,414	175	16,239
2011	양천구	146,701	296	137,511	8,894	120,849	100	115,596	5,153	8,189	49	7,201	939	17,279	139	14,636	2,504	384	8	78	298	16,177	167	16,010
2011	강서구	179,155	285	159,633	19,237	147,556	77	132,271	15,208	10,353	36	8,987	1,330	21,054	160	18,293	2,601	192	12	82	98	15,961	166	15,795
2011	구로구	133,631	224	119,495	13,912	107,154	55	96,941	10,158	8,402	43	6,952	1,407	17,971	118	15,564	2,289	104	8	38	58	13,260	52	13,208
2011	금천구	73,986	92	69,047	4,847	55,420	24	53,131	2,265	5,140	9	4,676	455	13,359	58	11,212	2,089	67	1	28	38	10,299	172	10,127
2011	영등포구	137,992	314	127,971	9,707	105,734	102	101,441	4,191	7,610	34	7,033	543	24,044	163	19,292	4,589	604	15	205	384	15,664	174	15,490
2011	동작구	96,802	255	93,822	2,725	81,669	59	80,285	1,325	4,929	45	4,724	160	10,108	140	8,778	1,190	96	11	35	50	13,940	186	13,754
2011	관악구	119,090	282	113,041	5,767	98,026	66	94,457	3,503	6,984	56	6,613	315	13,957	154	11,957	1,846	123	6	14	103	21,822	228	21,594
2011	서초구	171,097	647	158,429	12,021	145,756	306	139,243	6,207	6,823	146	5,880	797	18,255	183	13,205	4,867	263	12	101	150	10,424	268	10,156
2011	강남구	246,455	286	212,857	33,312	218,027	80	188,330	29,617	9,530	44	7,855	1,631	18,638	141	16,569	1,928	260	21	103	136	15,169	164	15,005
2011	송파구	215,036	319	203,950	10,767	179,416	74	173,836	5,506	10,636	78	8,991	1,567	24,764	160	21,069	3,535	220	7	54	159	16,223	237	15,986
2011	강동구	142,150	192	132,545	9,413	115,662	43	109,230	6,389	8,654	28	7,885	741	17,616	114	15,394	2,108	218	7	36	175	16,066	124	15,942
