기간	자치구	합계	합계	합계	합계	합계	합계	노상	노상	노상	노상	노상	노상	노상	노상	노외	노외	노외	노외	노외	노외	노외	노외	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설
기간	자치구	계	계	공영	공영	민영	민영	계	계	요금부과별	요금부과별	운영주체별	운영주체별	운영주체별	운영주체별	계	계	시영	시영	구영	구영	민영	민영	계	계	일반주택	일반주택	공동주택	공동주택	일반건축물	일반건축물
기간	자치구	계	계	공영	공영	민영	민영	계	계	유료	유료	시영	시영	구영	구영	계	계	시영	시영	구영	구영	민영	민영	계	계	일반주택	일반주택	공동주택	공동주택	일반건축물	일반건축물
기간	자치구	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수
2015	서울시	299,904	3,877,326	9,788	201,808	290,116	3,675,518	8,925	134,924	8,925	134,924	75	2,690	8,850	132,234	2,081	109,306	68	15,357	795	51,527	1,218	42,422	288,898	3,633,096	129,215	307,301	76,785	1,954,248	82,898	1,371,547
2015	종로구	7,313	86,478	199	6,395	7,114	80,083	163	2,396	163	2,396	5	197	158	2,199	107	6,598	7	2,915	29	1,084	71	2,599	7,043	77,484	2,849	6,153	1,676	22,025	2,518	49,306
2015	중구	4,428	107,313	180	5,399	4,248	101,914	151	2,091	151	2,091	19	655	132	1,436	114	9,283	4	1,236	25	2,072	85	5,975	4,163	95,939	1,084	2,751	681	25,659	2,398	67,529
2015	용산구	7,247	110,751	412	7,268	6,835	103,483	377	4,227	377	4,227	2	53	375	4,174	77	4,238	4	893	31	2,148	42	1,197	6,793	102,286	2,938	9,900	1,903	56,074	1,952	36,312
2015	성동구	6,824	116,675	297	9,152	6,527	107,523	269	6,694	269	6,694	2	58	267	6,636	68	3,610	-	-	28	2,458	40	1,152	6,487	106,371	2,972	5,451	879	61,358	2,636	39,562
2015	광진구	16,016	118,208	53	5,643	15,963	112,565	20	3,952	20	3,952	1	18	19	3,934	64	2,703	-	-	33	1,691	31	1,012	15,932	111,553	8,460	20,618	2,910	48,081	4,562	42,854
2015	동대문구	9,296	122,229	59	6,779	9,237	115,450	28	4,623	28	4,623	1	25	27	4,598	60	3,131	2	182	29	1,974	29	975	9,208	114,475	3,485	10,880	3,856	71,143	1,867	32,452
2015	중랑구	11,690	119,592	549	10,095	11,141	109,497	513	7,763	513	7,763	2	108	511	7,655	76	3,868	3	530	33	1,802	40	1,536	11,101	107,961	5,799	12,197	2,574	64,107	2,728	31,657
