기간	자치구	합계	합계	합계	합계	합계	합계	노상	노상	노상	노상	노상	노상	노상	노상	노외	노외	노외	노외	노외	노외	노외	노외	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설
2015	성북구	13,149	149,216	184	8,067	12,965	141,149	124	6,582	124	6,582	1	26	123	6,556	136	3,348	2	39	58	1,446	76	1,863	12,889	139,286	6,427	15,138	2,886	89,082	3,576	35,066
2015	강북구	10,783	85,446	46	5,299	10,737	80,147	22	3,541	22	3,541	-	-	22	3,541	42	2,200	-	-	24	1,758	18	442	10,719	79,705	5,719	11,159	2,926	49,622	2,074	18,924
2015	도봉구	9,739	108,858	526	6,460	9,213	102,398	491	4,049	491	4,049	-	-	491	4,049	56	3,014	4	1,231	31	1,180	21	603	9,192	101,795	4,450	8,625	2,739	69,178	2,003	23,992
2015	노원구	6,456	165,131	161	3,761	6,295	161,370	138	2,369	138	2,369	2	122	136	2,247	45	2,813	4	402	19	990	22	1,421	6,273	159,949	2,398	7,680	1,631	116,168	2,244	36,101
2015	은평구	20,309	150,781	132	6,280	20,177	144,501	108	4,324	108	4,324	1	28	107	4,296	93	3,365	1	401	23	1,555	69	1,409	20,108	143,092	9,196	17,538	7,523	96,308	3,389	29,246
2015	서대문구	7,863	65,598	684	6,473	7,179	59,125	649	4,882	649	4,882	2	18	647	4,864	83	2,444	1	27	34	1,564	48	853	7,131	58,272	3,090	9,008	1,952	24,474	2,089	24,790
2015	마포구	13,952	166,646	44	6,879	13,908	159,767	27	4,820	27	4,820	-	-	27	4,820	56	3,754	2	534	15	1,525	39	1,695	13,869	158,072	5,526	14,009	3,473	73,956	4,870	70,107
2015	양천구	11,867	157,006	637	7,548	11,230	149,458	593	3,473	593	3,473	7	258	586	3,215	58	5,840	3	177	41	3,898	14	1,765	11,216	147,693	4,545	8,879	3,820	94,532	2,851	44,282
2015	강서구	18,955	240,169	724	8,466	18,231	231,703	695	5,132	695	5,132	1	164	694	4,968	52	4,481	9	1,052	20	2,282	23	1,147	18,208	230,556	7,628	16,582	6,398	133,318	4,182	80,656
2015	구로구	9,296	158,538	330	6,084	8,966	152,454	298	3,692	298	3,692	9	226	289	3,466	65	3,819	3	513	29	1,879	33	1,427	8,933	151,027	5,271	10,373	1,885	80,337	1,777	60,317
2015	금천구	8,924	111,803	61	4,827	8,863	106,976	37	3,282	37	3,282	2	72	35	3,210	48	2,303	1	129	23	1,416	24	758	8,839	106,218	4,779	10,176	1,722	33,103	2,338	62,939
2015	영등포구	10,899	160,643	2,734	10,832	8,165	149,811	2,702	6,907	2,702	6,907	10	382	2,692	6,525	64	5,720	3	1,235	29	2,690	32	1,795	8,133	148,016	4,848	8,630	1,276	68,514	2,009	70,872
2015	동작구	9,610	134,621	91	3,721	9,519	130,900	80	3,023	80	3,023	1	24	79	2,999	55	1,954	2	140	9	558	44	1,256	9,475	129,644	4,645	11,335	2,953	78,883	1,877	39,426
2015	관악구	19,151	143,921	62	8,181	19,089	135,740	28	6,318	28	6,318	1	68	27	6,250	83	2,912	2	218	32	1,645	49	1,049	19,040	134,691	9,911	20,898	4,187	73,968	4,942	39,825
2015	서초구	13,657	279,647	878	8,925	12,779	270,722	842	6,078	842	6,078	1	50	841	6,028	164	6,807	1	207	35	2,640	128	3,960	12,651	266,762	3,966	12,790	2,983	139,723	5,702	114,249
2015	강남구	21,188	379,400	103	15,424	21,085	363,976	71	10,007	71	10,007	4	108	67	9,899	234	10,820	5	911	27	4,506	202	5,403	20,883	358,573	7,038	26,680	3,652	139,536	10,193	192,357
2015	송파구	18,122	277,008	608	21,688	17,514	255,320	478	15,632	478	15,632	1	30	477	15,602	152	6,554	3	944	127	5,112	22	498	17,492	254,822	5,319	13,796	7,001	150,570	5,172	90,456
2015	강동구	13,170	161,648	34	12,162	13,136	149,486	21	9,067	21	9,067	-	-	21	9,067	29	3,727	2	1,441	11	1,654	16	632	13,120	148,854	6,872	16,055	3,299	94,529	2,949	38,270
