기간	자치구	합계	합계	합계	합계	합계	합계	노상	노상	노상	노상	노상	노상	노외	노외	노외	노외	노외	노외	노외	노외	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설
기간	자치구	계	계	공영	공영	민영	민영	계	계	시영	시영	구영	구영	계	계	시영	시영	구영	구영	민영	민영	계	계	일반주택	일반주택	공동주택	공동주택	일반건축물	일반건축물
기간	자치구	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수	개소	면수
2019	서울시	314,392	4,250,682	11,083	187,446	303,309	4,063,236	9,859	115,692	70	2,019	9,789	113,673	2,074	100,773	65	15,474	1,159	56,280	850	29,019	302,459	4,034,217	128,636	326,562	81,575	2,118,106	92,248	1,589,549
2019	종로구	7,103	95,350	194	6,142	6,909	89,208	151	2,187	10	342	141	1,845	110	6,545	5	2,668	38	1,287	67	2,590	6,842	86,618	2,835	7,170	1,507	25,236	2,500	54,212
2019	중구	4,228	107,399	178	5,408	4,050	101,991	146	1,493	20	387	126	1,106	74	5,751	4	1,995	28	1,920	42	1,836	4,008	100,155	866	2,320	706	28,246	2,436	69,589
2019	용산구	7,390	113,591	424	6,532	6,966	107,059	380	3,609	2	21	378	3,588	68	3,371	4	849	40	2,074	24	448	6,942	106,611	2,710	6,694	2,047	60,428	2,185	39,489
2019	성동구	6,649	133,724	287	8,174	6,362	125,550	254	5,660	2	57	252	5,603	72	3,727	-	-	33	2,514	39	1,213	6,323	124,337	2,813	5,658	817	62,956	2,693	55,723
2019	광진구	17,495	138,741	1,350	5,619	16,145	133,122	1,278	3,311	1	18	1,277	3,293	95	2,675	-	-	72	2,308	23	367	16,122	132,755	7,891	22,964	3,506	56,434	4,725	53,357
2019	동대문구	10,455	138,200	685	6,026	9,770	132,174	655	4,254	2	128	653	4,126	49	2,631	2	159	28	1,613	19	859	9,751	131,315	4,290	9,545	1,753	74,249	3,708	47,521
2019	중랑구	12,381	133,615	562	11,119	11,819	122,496	523	6,866	1	62	522	6,804	67	5,538	3	983	36	3,270	28	1,285	11,791	121,211	5,944	15,289	3,095	74,057	2,752	31,865
2019	성북구	13,014	156,915	219	7,283	12,795	149,632	129	5,563	1	26	128	5,537	161	4,053	1	21	89	1,699	71	2,333	12,724	147,299	6,160	15,249	3,048	93,897	3,516	38,153
2019	강북구	10,969	91,187	49	5,108	10,920	86,079	23	3,018	1	21	22	2,997	46	2,532	-	-	26	2,090	20	442	10,900	85,637	5,448	11,208	3,382	55,007	2,070	19,422
2019	도봉구	9,660	109,751	488	5,432	9,172	104,319	443	3,350	-	-	443	3,350	62	2,564	3	654	42	1,428	17	482	9,155	103,837	4,229	8,384	2,957	71,440	1,969	24,013
2019	노원구	6,855	176,629	187	3,986	6,668	172,643	143	2,286	2	111	141	2,175	60	2,275	4	403	40	1,297	16	575	6,652	172,068	2,517	7,074	1,717	119,458	2,418	45,536
