기간	자치구	합계	합계	합계	합계	합계	합계	노상	노상	노상	노상	노상	노상	노외	노외	노외	노외	노외	노외	노외	노외	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설	건축물부설
2019	은평구	18,790	146,696	134	5,721	18,656	140,975	109	3,670	1	14	108	3,656	54	2,858	1	399	24	1,652	29	807	18,627	140,168	7,761	13,556	7,519	100,962	3,347	25,650
2019	서대문구	11,382	112,259	661	5,946	10,721	106,313	568	4,237	2	18	566	4,219	153	2,045	1	27	92	1,682	60	336	10,661	105,977	4,690	13,143	3,015	60,277	2,956	32,557
2019	마포구	13,066	186,203	48	7,139	13,018	179,064	29	4,475	-	-	29	4,475	51	4,119	2	525	17	2,139	32	1,455	12,986	177,609	4,863	13,451	3,552	90,141	4,571	74,017
2019	양천구	11,694	162,797	517	7,206	11,177	155,591	469	2,908	-	-	469	2,908	58	4,945	3	183	45	4,115	10	647	11,167	154,944	3,777	9,224	4,050	101,371	3,340	44,349
2019	강서구	18,962	262,157	673	8,545	18,289	253,612	641	4,858	2	144	639	4,714	56	5,097	10	1,342	22	2,345	24	1,410	18,265	252,202	7,042	14,887	7,032	141,073	4,191	96,242
2019	구로구	10,632	183,896	344	5,343	10,288	178,553	318	3,056	5	144	313	2,912	60	3,151	3	514	23	1,773	34	864	10,254	177,689	5,026	10,000	2,658	94,956	2,570	72,733
2019	금천구	9,149	129,455	68	4,018	9,081	125,437	31	2,449	2	61	29	2,388	49	1,909	1	128	36	1,441	12	340	9,069	125,097	4,394	10,572	2,109	36,712	2,566	77,813
2019	영등포구	10,907	184,322	2,183	9,559	8,724	174,763	2,149	5,822	8	205	2,141	5,617	65	5,694	3	945	31	2,792	31	1,957	8,693	172,806	5,343	16,114	1,402	72,053	1,948	84,639
2019	동작구	8,306	134,083	120	3,668	8,186	130,415	86	2,664	1	25	85	2,639	65	1,967	1	65	33	939	31	963	8,155	129,452	3,656	8,513	2,952	93,772	1,547	27,167
2019	관악구	20,442	152,131	65	7,516	20,377	144,615	30	5,548	1	62	29	5,486	86	3,047	2	93	33	1,875	51	1,079	20,326	143,536	10,682	23,376	4,595	78,974	5,049	41,186
2019	서초구	12,390	261,294	814	7,396	11,576	253,898	768	4,898	1	50	767	4,848	81	4,428	1	184	45	2,314	35	1,930	11,541	251,968	3,548	12,601	2,741	124,676	5,252	114,691
2019	강남구	19,829	395,951	103	13,856	19,726	382,095	64	7,906	4	95	60	7,811	137	9,398	6	949	33	5,001	98	3,448	19,628	378,647	6,410	38,123	3,720	133,861	9,498	206,663
2019	송파구	22,650	351,025	685	19,309	21,965	331,716	451	13,441	1	28	450	13,413	259	6,832	3	941	231	4,927	25	964	21,940	330,752	8,225	15,527	8,007	170,586	5,708	144,639
2019	강동구	19,994	193,311	45	11,395	19,949	181,916	21	8,163	-	-	21	8,163	36	3,621	2	1,447	22	1,785	12	389	19,937	181,527	7,516	15,920	3,688	97,284	8,733	68,323
