기간	자치구	합계	합계	합계	합계	승용차	승용차	승용차	승용차	승합차	승합차	승합차	승합차	화물차	화물차	화물차	화물차	특수차	특수차	특수차	특수차	이륜차	이륜차	이륜차
기간	자치구	계	관용	자가용	영업용	계	관용	자가용	영업용	계	관용	자가용	영업용	계	관용	자가용	영업용	계	관용	자가용	영업용	계	관용	자가용
2010	서울시	2,981,400	10,499	2,751,620	219,281	2,434,230	3,980	2,283,176	147,074	176,999	2,493	157,364	17,142	366,306	3,712	310,033	52,561	3,865	314	1,047	2,504	410,615	3,610	407,005
2010	종로구	49,669	1,605	46,222	1,842	38,657	682	37,289	686	4,190	564	3,169	457	6,728	299	5,748	681	94	60	16	18	12,871	286	12,585
2010	중구	62,495	929	55,753	5,813	49,840	304	45,928	3,608	4,089	421	3,340	328	8,407	189	6,423	1,795	159	15	62	82	13,692	124	13,568
2010	용산구	75,579	467	73,173	1,939	63,511	229	62,465	817	3,881	63	3,740	78	8,117	163	6,958	996	70	12	10	48	15,439	130	15,309
2010	성동구	87,277	308	82,176	4,793	70,674	109	67,773	2,792	4,749	56	4,370	323	11,744	135	10,012	1,597	110	8	21	81	18,897	61	18,836
2010	광진구	92,712	313	87,947	4,452	74,742	104	71,910	2,728	5,709	49	5,317	343	12,195	153	10,701	1,341	66	7	19	40	17,561	90	17,471
2010	동대문구	90,954	365	85,031	5,558	70,713	141	67,542	3,030	5,836	75	5,531	230	14,312	139	11,928	2,245	93	10	30	53	22,217	184	22,033
2010	중랑구	103,779	252	94,260	9,267	79,345	76	73,724	5,545	7,849	44	6,842	963	16,397	119	13,677	2,601	188	13	17	158	22,782	90	22,692
2010	성북구	115,600	320	109,784	5,496	94,581	115	91,699	2,767	7,978	59	6,957	962	12,985	137	11,108	1,740	56	9	20	27	24,783	124	24,659
2010	강북구	73,805	302	68,751	4,752	57,615	103	54,927	2,585	5,968	44	5,196	728	10,179	145	8,612	1,422	43	10	16	17	20,288	93	20,195
2010	도봉구	93,719	236	86,095	7,388	76,247	78	70,563	5,606	6,187	56	5,617	514	11,202	94	9,903	1,205	83	8	12	63	13,728	25	13,703
2010	노원구	155,744	305	145,807	9,632	130,795	100	123,764	6,931	9,468	60	8,618	790	15,378	136	13,403	1,839	103	9	22	72	13,941	82	13,859
2010	은평구	116,001	297	109,551	6,153	93,484	105	89,620	3,759	8,001	67	7,243	691	14,435	118	12,665	1,652	81	7	23	51	18,953	87	18,866
2010	서대문구	79,542	422	74,532	4,588	64,973	195	62,177	2,601	5,078	70	4,601	407	9,409	147	7,736	1,526	82	10	18	54	13,882	164	13,718
2010	마포구	110,124	373	103,339	6,412	89,385	122	86,058	3,205	6,442	59	5,768	615	14,080	175	11,456	2,449	217	17	57	143	16,383	164	16,219
2010	양천구	146,470	349	136,980	9,141	119,722	138	114,295	5,289	8,516	61	7,550	905	17,850	141	15,058	2,651	382	9	77	296	16,343	169	16,174
2010	강서구	180,998	368	161,246	19,384	147,997	121	132,573	15,303	11,165	56	9,777	1,332	21,646	178	18,812	2,656	190	13	84	93	15,940	169	15,771
2010	구로구	138,450	271	117,288	20,891	111,736	87	94,312	17,337	8,472	60	7,085	1,327	18,161	116	15,860	2,185	81	8	31	42	13,106	58	13,048
2010	금천구	72,559	97	67,557	4,905	53,808	25	51,618	2,165	5,278	12	4,834	432	13,404	59	11,076	2,269	69	1	29	39	10,295	164	10,131
2010	영등포구	143,025	374	131,866	10,785	109,880	147	104,412	5,321	8,147	63	7,503	581	24,343	148	19,776	4,419	655	16	175	464	15,931	175	15,756
2010	동작구	96,579	309	93,150	3,120	80,945	96	79,293	1,556	5,208	55	4,979	174	10,349	144	8,862	1,343	77	14	16	47	13,951	189	13,762
2010	관악구	119,194	399	112,916	5,879	97,341	144	93,713	3,484	7,437	91	7,025	321	14,303	157	12,161	1,985	113	7	17	89	21,795	223	21,572
2010	서초구	170,001	742	157,550	11,709	144,215	374	137,687	6,154	7,182	174	6,246	762	18,387	181	13,516	4,690	217	13	101	103	10,527	256	10,271
2010	강남구	254,098	444	217,936	35,718	224,539	172	192,155	32,212	10,161	84	8,311	1,766	19,160	168	17,379	1,613	238	20	91	127	15,074	142	14,932
2010	송파구	213,490	396	202,604	10,490	176,700	132	171,202	5,366	11,119	100	9,607	1,412	25,473	156	21,745	3,572	198	8	50	140	16,271	244	16,027
2010	강동구	139,536	256	130,106	9,174	112,785	81	106,477	6,227	8,889	50	8,138	701	17,662	115	15,458	2,089	200	10	33	157	15,941	117	15,824
