기간	자치구	합계	합계	합계	합계	승용차	승용차	승용차	승용차	승합차	승합차	승합차	승합차	화물차	화물차	화물차	화물차	특수차	특수차	특수차	특수차	이륜차	이륜차	이륜차
기간	자치구	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용
2015	서울시	3,056,588	11,146	2,849,525	195,917	2,560,154	4,070	2,437,900	118,184	141,927	3,024	121,827	17,076	347,765	3,704	287,934	56,127	6,742	348	1,864	4,530	453,409	4,716	448,693
2015	종로구	49,817	3,682	44,574	1,561	39,548	1,868	37,256	424	4,173	1,362	2,476	335	5,914	369	4,818	727	182	83	24	75	13,625	326	13,299
2015	중구	52,988	997	47,702	4,289	41,605	246	39,105	2,254	3,793	547	2,876	370	7,415	188	5,651	1,576	175	16	70	89	14,742	253	14,489
2015	용산구	76,078	344	73,674	2,060	65,321	136	64,104	1,081	3,128	50	3,020	58	7,500	146	6,473	881	129	12	77	40	16,595	223	16,372
2015	성동구	95,767	265	87,847	7,655	80,200	78	74,728	5,394	4,070	33	3,498	539	11,329	144	9,567	1,618	168	10	54	104	20,223	120	20,103
2015	광진구	96,092	267	90,449	5,376	79,506	67	76,681	2,758	4,587	42	3,881	664	11,740	151	9,873	1,716	259	7	14	238	18,815	194	18,621
2015	동대문구	96,607	264	90,407	5,936	77,672	78	74,503	3,091	4,862	52	4,494	316	13,881	123	11,381	2,377	192	11	29	152	24,244	245	23,999
2015	중랑구	110,094	187	100,478	9,429	88,123	42	82,142	5,939	5,869	31	5,318	520	15,783	98	12,960	2,725	319	16	58	245	24,576	100	24,476
2015	성북구	116,544	219	110,867	5,458	98,362	63	95,679	2,620	6,362	29	5,246	1,087	11,712	117	9,917	1,678	108	10	25	73	26,429	164	26,265
2015	강북구	75,760	280	70,638	4,842	61,405	86	58,573	2,746	4,744	47	3,923	774	9,487	129	8,109	1,249	124	18	33	73	21,904	75	21,829
2015	도봉구	95,851	232	87,888	7,731	80,016	58	74,536	5,422	4,649	41	4,161	447	11,003	127	9,149	1,727	183	6	42	135	14,851	160	14,691
2015	노원구	154,645	249	144,649	9,747	133,057	52	126,393	6,612	7,031	46	6,147	838	14,281	143	12,059	2,079	276	8	50	218	15,303	96	15,207
2015	은평구	126,482	223	119,306	6,953	105,776	63	101,630	4,083	6,429	35	5,607	787	14,065	117	12,030	1,918	212	8	39	165	21,248	143	21,105
2015	서대문구	82,327	404	76,900	5,023	69,320	159	66,439	2,722	4,006	73	3,542	391	8,869	160	6,890	1,819	132	12	29	91	14,837	170	14,667
2015	마포구	116,915	273	109,135	7,507	97,950	59	93,931	3,960	5,376	48	4,517	811	13,247	150	10,594	2,503	342	16	93	233	17,783	177	17,606
2015	양천구	149,721	296	140,201	9,224	125,812	106	120,735	4,971	6,793	49	5,553	1,191	16,640	132	13,813	2,695	476	9	100	367	17,801	144	17,657
2015	강서구	191,072	293	176,167	14,612	160,347	81	150,142	10,124	8,890	40	7,437	1,413	21,526	161	18,490	2,875	309	11	98	200	18,488	164	18,324
2015	구로구	138,272	214	127,055	11,003	112,930	50	105,651	7,229	7,288	47	6,198	1,043	17,813	107	15,114	2,592	241	10	92	139	16,504	59	16,445
2015	금천구	82,684	121	74,691	7,872	64,439	25	59,483	4,931	4,726	10	4,248	468	13,398	84	10,921	2,393	121	2	39	80	11,789	195	11,594
2015	영등포구	145,778	299	135,343	10,136	117,065	87	112,172	4,806	6,466	42	5,998	426	21,266	155	16,813	4,298	981	15	360	606	17,010	225	16,785
2015	동작구	102,067	266	99,029	2,772	88,400	70	87,130	1,200	4,070	46	3,910	114	9,236	139	7,911	1,186	361	11	78	272	15,290	214	15,076
2015	관악구	120,789	255	114,745	5,789	101,591	60	98,206	3,325	5,734	35	5,407	292	13,251	150	11,102	1,999	213	10	30	173	24,753	285	24,468
2015	서초구	178,847	624	167,845	10,378	154,470	285	149,924	4,261	6,259	149	5,285	825	17,796	175	12,498	5,123	322	15	138	169	14,298	277	14,021
2015	강남구	244,787	345	223,960	20,482	215,556	105	198,611	16,840	7,856	51	6,804	1,001	21,020	171	18,379	2,470	355	18	166	171	16,769	317	16,452
2015	송파구	218,942	332	207,009	11,601	186,653	94	180,551	6,008	8,653	86	6,907	1,660	23,344	144	19,467	3,733	292	8	84	200	18,479	239	18,240
2015	강동구	137,662	215	128,966	8,481	115,030	52	109,595	5,383	6,113	33	5,374	706	16,249	124	13,955	2,170	270	6	42	222	17,040	151	16,889
2015	기타	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13	-	13
