기간	자치구	합계	합계	합계	합계	승용차	승용차	승용차	승용차	승합차	승합차	승합차	승합차	화물차	화물차	화물차	화물차	특수차	특수차	특수차	특수차	이륜차	이륜차	이륜차
기간	자치구	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용
2013	서울시	2,973,877	10,892	2,768,769	194,216	2,462,515	4,065	2,338,864	119,586	156,871	2,886	136,805	17,180	349,285	3,590	291,646	54,049	5,206	351	1,454	3,401	450,794	4,557	446,237
2013	종로구	50,476	3,572	45,077	1,827	39,430	1,813	37,136	481	4,536	1,307	2,866	363	6,274	369	5,050	855	236	83	25	128	13,656	296	13,360
2013	중구	57,531	1,002	51,065	5,464	45,246	271	41,681	3,294	4,209	530	3,259	420	7,758	187	6,006	1,565	318	14	119	185	14,677	208	14,469
2013	용산구	75,771	393	73,358	2,020	64,722	182	63,490	1,050	3,504	49	3,374	81	7,489	149	6,478	862	56	13	16	27	16,580	198	16,382
2013	성동구	89,596	263	84,265	5,068	73,633	75	70,534	3,024	4,439	34	3,938	467	11,385	145	9,752	1,488	139	9	41	89	20,104	124	19,980
2013	광진구	95,205	254	89,290	5,661	77,687	65	74,453	3,169	5,282	37	4,568	677	12,037	144	10,252	1,641	199	8	17	174	18,755	162	18,593
2013	동대문구	93,469	269	87,688	5,512	73,920	88	71,117	2,715	5,295	52	5,012	231	14,117	120	11,523	2,474	137	9	36	92	24,144	199	23,945
2013	중랑구	104,872	179	95,916	8,777	82,398	41	76,894	5,463	6,547	28	5,982	537	15,704	96	13,009	2,599	223	14	31	178	24,610	117	24,493
2013	성북구	116,282	227	110,677	5,378	96,930	62	94,258	2,610	7,087	30	6,035	1,022	12,187	125	10,363	1,699	78	10	21	47	26,792	144	26,648
2013	강북구	74,397	295	69,159	4,943	59,348	87	56,646	2,615	5,202	43	4,408	751	9,752	148	8,078	1,526	95	17	27	51	21,903	188	21,715
2013	도봉구	93,700	175	86,039	7,486	77,591	45	71,908	5,638	5,325	40	4,812	473	10,656	83	9,286	1,287	128	7	33	88	15,020	25	14,995
2013	노원구	152,927	236	143,583	9,108	130,488	47	124,193	6,248	7,858	39	7,036	783	14,389	140	12,322	1,927	192	10	32	150	15,233	147	15,086
2013	은평구	123,434	196	116,484	6,754	101,709	56	97,675	3,978	7,229	31	6,468	730	14,354	101	12,317	1,936	142	8	24	110	21,280	130	21,150
2013	서대문구	79,216	382	74,284	4,550	65,964	160	63,217	2,587	4,419	70	3,982	367	8,720	136	7,062	1,522	113	16	23	74	14,822	176	14,646
2013	마포구	111,519	291	103,819	7,409	91,640	67	87,635	3,938	6,076	43	5,179	854	13,512	164	10,898	2,450	291	17	107	167	17,808	205	17,603
2013	양천구	147,281	281	137,944	9,056	122,507	99	117,380	5,028	7,581	43	6,370	1,168	16,770	129	14,102	2,539	423	10	92	321	17,806	160	17,646
2013	강서구	175,911	268	160,683	14,960	145,356	73	134,468	10,815	9,529	35	8,157	1,337	20,757	148	17,975	2,634	269	12	83	174	18,065	186	17,879
2013	구로구	134,093	218	121,253	12,622	108,457	54	99,704	8,699	7,743	45	6,577	1,121	17,712	110	14,919	2,683	181	9	53	119	15,447	72	15,375
2013	금천구	78,934	102	71,466	7,366	60,778	23	56,123	4,632	4,912	9	4,449	454	13,170	68	10,871	2,231	74	2	23	49	11,627	200	11,427
2013	영등포구	137,169	298	127,971	8,900	106,969	89	103,064	3,816	6,941	37	6,428	476	22,701	157	18,244	4,300	558	15	235	308	17,442	216	17,226
2013	동작구	101,202	265	98,222	2,715	86,699	62	85,353	1,284	4,568	50	4,408	110	9,742	140	8,385	1,217	193	13	76	104	15,489	222	15,267
2013	관악구	118,448	249	112,565	5,634	98,361	61	95,011	3,289	6,422	31	6,063	328	13,506	148	11,466	1,892	159	9	25	125	24,241	278	23,963
2013	서초구	173,554	672	162,252	10,630	148,580	328	143,566	4,686	6,742	151	5,726	865	17,937	180	12,845	4,912	295	13	115	167	13,312	264	13,048
2013	강남구	235,143	288	211,780	23,075	207,942	93	188,369	19,480	8,800	40	7,419	1,341	18,143	135	15,888	2,120	258	20	104	134	16,906	237	16,669
2013	송파구	214,019	320	202,935	10,764	180,506	81	174,968	5,457	9,573	81	7,937	1,555	23,720	151	19,967	3,602	220	7	63	150	17,635	243	17,392
2013	강동구	139,728	197	130,994	8,537	115,654	43	110,021	5,590	7,052	31	6,352	669	16,793	117	14,588	2,088	229	6	33	190	17,422	160	17,262
2013	기타	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18	-	18
