기간	자치구	합계	합계	합계	합계	승용차	승용차	승용차	승용차	승합차	승합차	승합차	승합차	화물차	화물차	화물차	화물차	특수차	특수차	특수차	특수차	이륜차	이륜차	이륜차
기간	자치구	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용
2020	서울시	3,157,361	12,723	2,940,892	203,746	2,711,984	4,607	2,582,001	125,376	106,504	3,805	87,315	15,384	329,943	3,937	267,951	58,055	8,930	374	3,625	4,931	459,002	4,554	454,448
2020	종로구	50,267	3,856	44,697	1,714	41,197	1,742	38,953	502	3,726	1,662	1,757	307	5,149	364	3,934	851	195	88	53	54	13,212	450	12,762
2020	중구	51,126	1,330	45,710	4,086	40,804	285	38,551	1,968	3,244	835	2,102	307	6,848	193	4,968	1,687	230	17	89	124	14,428	240	14,188
2020	용산구	78,995	340	76,624	2,031	69,884	135	68,904	845	2,280	56	2,162	62	6,707	140	5,481	1,086	124	9	77	38	16,769	199	16,570
2020	성동구	106,156	341	93,992	11,823	91,881	121	82,602	9,158	3,467	45	2,466	956	10,591	157	8,827	1,607	217	18	97	102	20,008	114	19,894
2020	광진구	98,883	294	92,897	5,692	83,255	84	79,661	3,510	3,109	42	2,662	405	12,236	161	10,527	1,548	283	7	47	229	18,639	188	18,451
2020	동대문구	98,030	307	92,787	4,936	81,843	103	79,187	2,553	3,437	52	3,237	148	12,547	142	10,266	2,139	203	10	97	96	23,995	188	23,807
2020	중랑구	114,020	255	104,250	9,515	94,090	79	88,177	5,834	4,424	32	3,796	596	15,030	128	12,144	2,758	476	16	133	327	24,749	119	24,630
2020	성북구	120,269	291	114,489	5,489	104,500	89	101,842	2,569	4,760	46	3,571	1,143	10,814	147	8,992	1,675	195	9	84	102	26,527	229	26,298
2020	강북구	75,679	316	71,077	4,286	63,095	105	60,792	2,198	3,504	63	2,719	722	8,905	135	7,502	1,268	175	13	64	98	22,302	59	22,243
2020	도봉구	95,839	275	88,203	7,361	81,407	91	76,473	4,843	3,444	51	2,958	435	10,714	122	8,664	1,928	274	11	108	155	14,997	149	14,848
2020	노원구	152,729	325	143,093	9,311	134,343	93	128,202	6,048	5,094	53	4,145	896	12,914	170	10,633	2,111	378	9	113	256	15,139	60	15,079
2020	은평구	132,198	297	124,829	7,072	114,400	99	110,148	4,153	4,739	46	3,895	798	12,736	138	10,668	1,930	323	14	118	191	21,277	127	21,150
2020	서대문구	89,496	457	83,162	5,877	77,943	201	74,359	3,383	3,069	109	2,521	439	8,191	137	6,201	1,853	293	10	81	202	15,132	155	14,977
2020	마포구	119,389	340	112,049	7,000	103,387	100	99,115	4,172	3,758	55	3,099	604	11,932	165	9,679	2,088	312	20	156	136	17,596	171	17,425
2020	양천구	151,449	315	142,468	8,666	131,138	116	126,383	4,639	4,740	56	3,903	781	14,960	135	11,995	2,830	611	8	187	416	21,000	157	20,843
2020	강서구	205,054	336	185,718	19,000	176,630	117	163,102	13,411	7,048	44	5,558	1,446	20,882	161	16,819	3,902	494	14	239	241	19,170	168	19,002
2020	구로구	145,267	293	132,134	12,840	121,848	97	112,412	9,339	5,731	57	5,015	659	17,267	130	14,485	2,652	421	9	222	190	15,898	205	15,693
2020	금천구	88,395	135	82,333	5,927	71,208	41	68,114	3,053	3,874	19	3,342	513	13,126	70	10,785	2,271	187	5	92	90	11,907	28	11,879
2020	영등포구	146,171	374	136,630	9,167	120,528	132	116,304	4,092	4,813	53	4,567	193	19,610	175	15,181	4,254	1,220	14	578	628	17,038	155	16,883
2020	동작구	105,588	316	102,483	2,789	93,727	103	92,416	1,208	3,004	53	2,811	140	8,497	145	7,170	1,182	360	15	86	259	15,334	192	15,142
2020	관악구	119,393	319	113,494	5,580	102,838	95	99,684	3,059	4,262	50	3,889	323	11,998	162	9,808	2,028	295	12	113	170	25,142	244	24,898
2020	서초구	181,053	535	167,856	12,662	159,763	213	152,796	6,754	4,565	137	3,658	770	16,350	173	11,195	4,982	375	12	207	156	12,518	294	12,224
2020	강남구	236,216	393	216,919	18,904	214,610	148	198,555	15,907	5,432	54	4,731	647	15,752	176	13,390	2,186	422	15	243	164	18,230	320	17,910
2020	송파구	245,833	392	232,320	13,121	207,911	127	201,276	6,508	6,512	94	4,910	1,508	30,900	157	25,917	4,826	510	14	217	279	20,813	199	20,614
2020	강동구	149,866	291	140,678	8,897	129,754	91	123,993	5,670	4,468	41	3,841	586	15,287	154	12,720	2,413	357	5	124	228	17,170	144	17,026
2020	기타	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12	-	12
