기간	자치구	합계	합계	합계	합계	승용차	승용차	승용차	승용차	승합차	승합차	승합차	승합차	화물차	화물차	화물차	화물차	특수차	특수차	특수차	특수차	이륜차	이륜차	이륜차
기간	자치구	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용
2016	서울시	3,083,007	11,276	2,875,305	196,426	2,598,344	4,105	2,475,126	119,113	134,309	3,135	114,724	16,450	343,173	3,690	283,367	56,116	7,181	346	2,088	4,747	452,439	4,615	447,824
2016	종로구	49,471	3,754	44,062	1,655	39,559	1,862	37,195	502	4,087	1,439	2,307	341	5,650	367	4,536	747	175	86	24	65	13,446	323	13,123
2016	중구	51,604	988	46,806	3,810	40,352	245	38,461	1,646	3,677	550	2,706	421	7,409	179	5,575	1,655	166	14	64	88	14,874	237	14,637
2016	용산구	75,640	352	73,248	2,040	65,338	140	64,133	1,065	2,932	51	2,820	61	7,238	150	6,215	873	132	11	80	41	16,442	214	16,228
2016	성동구	99,529	266	90,126	9,137	84,276	78	77,361	6,837	3,844	34	3,235	575	11,222	143	9,465	1,614	187	11	65	111	20,428	120	20,308
2016	광진구	97,045	275	91,068	5,702	80,741	71	77,610	3,060	4,423	45	3,644	734	11,622	152	9,795	1,675	259	7	19	233	18,563	203	18,360
2016	동대문구	97,333	275	91,319	5,739	78,992	83	75,836	3,073	4,514	59	4,239	216	13,658	123	11,199	2,336	169	10	45	114	24,128	232	23,896
2016	중랑구	112,098	189	102,178	9,731	90,329	40	84,132	6,157	5,586	32	5,016	538	15,791	101	12,968	2,722	392	16	62	314	24,324	100	24,224
2016	성북구	116,446	224	110,714	5,508	98,837	66	96,100	2,671	6,030	28	4,885	1,117	11,462	120	9,698	1,644	117	10	31	76	26,267	168	26,099
2016	강북구	76,844	271	71,707	4,866	62,826	81	59,915	2,830	4,466	46	3,667	753	9,421	127	8,092	1,202	131	17	33	81	21,966	74	21,892
2016	도봉구	97,059	229	89,131	7,699	81,500	58	76,043	5,399	4,421	40	3,945	436	10,951	125	9,104	1,722	187	6	39	142	14,735	155	14,580
2016	노원구	155,697	252	145,897	9,548	134,645	53	128,286	6,306	6,669	49	5,693	927	14,076	141	11,864	2,071	307	9	54	244	15,276	68	15,208
2016	은평구	127,647	225	120,562	6,860	107,413	67	103,364	3,982	6,088	34	5,271	783	13,912	116	11,880	1,916	234	8	47	179	21,139	110	21,029
2016	서대문구	84,358	424	78,683	5,251	71,598	170	68,480	2,948	3,852	83	3,376	393	8,762	159	6,786	1,817	146	12	41	93	14,989	167	14,822
2016	마포구	117,071	290	109,220	7,561	98,891	69	94,657	4,165	4,950	50	4,201	699	12,906	153	10,270	2,483	324	18	92	214	17,418	177	17,241
2016	양천구	150,208	300	140,871	9,037	127,174	109	122,159	4,906	6,221	51	5,139	1,031	16,307	132	13,476	2,699	506	8	97	401	17,632	139	17,493
2016	강서구	196,164	286	180,689	15,189	165,908	82	155,127	10,699	8,487	38	7,047	1,402	21,441	155	18,406	2,880	328	11	109	208	18,594	165	18,429
2016	구로구	140,693	225	129,033	11,435	115,705	60	107,793	7,852	7,014	53	6,195	766	17,705	103	14,939	2,663	269	9	106	154	16,212	57	16,155
2016	금천구	84,684	120	77,340	7,224	66,259	21	61,964	4,274	4,721	12	4,218	491	13,563	84	11,108	2,371	141	3	50	88	11,875	204	11,671
2016	영등포구	146,180	306	136,124	9,750	118,332	98	113,984	4,250	6,282	39	5,803	440	20,440	156	15,866	4,418	1,126	13	471	642	16,687	186	16,501
2016	동작구	104,176	269	101,123	2,784	90,605	72	89,342	1,191	3,870	48	3,704	118	9,301	136	7,986	1,179	400	13	91	296	15,141	195	14,946
2016	관악구	122,039	265	116,013	5,761	103,233	67	99,750	3,416	5,478	35	5,154	289	13,106	152	11,071	1,883	222	11	38	173	24,835	292	24,543
2016	서초구	179,949	588	169,108	10,253	156,135	253	151,705	4,177	5,936	155	4,960	821	17,545	166	12,297	5,082	333	14	146	173	14,454	282	14,172
2016	강남구	242,348	351	222,368	19,629	214,472	118	198,068	16,286	7,168	45	6,229	894	20,356	171	17,913	2,272	352	17	158	177	17,477	353	17,124
2016	송파구	222,514	330	210,294	11,890	190,799	88	184,685	6,026	8,064	85	6,369	1,610	23,353	150	19,157	4,046	298	7	83	208	18,824	240	18,584
2016	강동구	136,210	222	127,621	8,367	114,425	54	108,976	5,395	5,529	34	4,901	594	15,976	129	13,701	2,146	280	5	43	232	16,700	154	16,546
2016	기타	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13	-	13
