기간	자치구	합계	합계	합계	합계	승용차	승용차	승용차	승용차	승합차	승합차	승합차	승합차	화물차	화물차	화물차	화물차	특수차	특수차	특수차	특수차	이륜차	이륜차	이륜차
기간	자치구	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용	영업용	소계	관용	자가용
2019	서울시	3,124,157	12,369	2,904,170	207,618	2,670,803	4,590	2,538,890	127,323	114,310	3,445	93,250	17,615	330,840	3,979	269,141	57,720	8,204	355	2,889	4,960	449,549	4,560	444,989
2019	종로구	50,052	3,871	44,483	1,698	40,900	1,761	38,643	496	3,772	1,631	1,826	315	5,200	390	3,969	841	180	89	45	46	13,269	438	12,831
2019	중구	51,736	1,064	45,797	4,875	41,182	285	38,341	2,556	3,202	571	2,249	382	7,128	191	5,123	1,814	224	17	84	123	14,353	249	14,104
2019	용산구	76,521	357	73,927	2,237	67,160	138	65,989	1,033	2,431	56	2,286	89	6,817	154	5,589	1,074	113	9	63	41	16,145	202	15,943
2019	성동구	106,263	339	94,221	11,703	89,939	110	82,514	7,315	5,316	46	2,604	2,666	10,827	167	9,038	1,622	181	16	65	100	20,165	121	20,044
2019	광진구	99,299	291	93,286	5,722	83,181	81	79,610	3,490	3,382	46	2,877	459	12,463	158	10,770	1,535	273	6	29	238	18,277	190	18,087
2019	동대문구	97,910	310	92,380	5,220	81,208	104	78,232	2,872	3,647	54	3,476	117	12,875	141	10,593	2,141	180	11	79	90	23,727	192	23,535
2019	중랑구	112,723	240	102,878	9,605	92,545	74	86,464	6,007	4,635	32	4,040	563	15,114	118	12,276	2,720	429	16	98	315	24,327	115	24,212
2019	성북구	119,321	281	113,559	5,481	103,131	95	100,483	2,553	5,026	38	3,827	1,161	10,980	139	9,179	1,662	184	9	70	105	26,544	209	26,335
2019	강북구	76,364	314	71,476	4,574	63,342	100	60,759	2,483	3,768	60	2,986	722	9,094	142	7,687	1,265	160	12	44	104	21,890	62	21,828
2019	도봉구	96,435	268	88,703	7,464	81,714	92	76,593	5,029	3,685	44	3,212	429	10,799	126	8,820	1,853	237	6	78	153	14,848	156	14,692
2019	노원구	152,071	319	142,351	9,401	133,071	86	126,840	6,145	5,429	50	4,456	923	13,224	173	10,982	2,069	347	10	73	264	14,905	48	14,857
2019	은평구	129,820	296	122,428	7,096	111,468	101	107,152	4,215	5,014	41	4,194	779	13,059	141	11,006	1,912	279	13	76	190	20,880	106	20,774
2019	서대문구	87,104	447	80,612	6,045	75,150	197	71,452	3,501	3,249	102	2,691	456	8,397	137	6,403	1,857	308	11	66	231	14,805	158	14,647
2019	마포구	117,907	332	110,593	6,982	101,540	94	97,366	4,080	4,133	53	3,340	740	11,974	168	9,773	2,033	260	17	114	129	17,228	179	17,049
2019	양천구	149,673	321	140,614	8,738	128,764	118	123,962	4,684	4,970	58	4,128	784	15,368	137	12,375	2,856	571	8	149	414	18,844	169	18,675
2019	강서구	204,675	333	185,623	18,719	175,694	115	162,313	13,266	7,348	41	5,853	1,454	21,208	164	17,299	3,745	425	13	158	254	18,652	172	18,480
2019	구로구	144,465	281	130,315	13,869	120,424	91	110,153	10,180	6,156	51	5,379	726	17,518	130	14,616	2,772	367	9	167	191	15,663	196	15,467
2019	금천구	87,581	133	81,461	5,987	69,930	39	66,815	3,076	4,169	15	3,662	492	13,325	75	10,914	2,336	157	4	70	83	11,569	35	11,534
2019	영등포구	142,010	374	132,013	9,623	116,250	135	111,536	4,579	5,048	47	4,771	230	19,493	180	15,119	4,194	1,219	12	587	620	16,263	166	16,097
2019	동작구	105,472	312	102,431	2,729	93,256	102	92,000	1,154	3,164	49	2,980	135	8,678	147	7,368	1,163	374	14	83	277	15,156	191	14,965
2019	관악구	120,050	307	114,027	5,716	102,976	96	99,661	3,219	4,526	42	4,192	292	12,278	158	10,090	2,030	270	11	84	175	24,515	248	24,267
2019	서초구	181,182	544	167,477	13,161	159,258	218	151,834	7,206	4,851	141	3,929	781	16,722	174	11,535	5,013	351	11	179	161	12,419	302	12,117
2019	강남구	235,415	383	216,169	18,863	213,230	151	197,246	15,833	5,948	47	5,045	856	15,831	169	13,651	2,011	406	16	227	163	17,072	266	16,806
2019	송파구	240,559	382	226,975	13,202	206,270	125	199,517	6,628	6,823	89	5,229	1,505	27,047	158	22,090	4,799	419	10	139	270	21,353	237	21,116
2019	강동구	139,549	270	130,371	8,908	119,220	82	113,415	5,723	4,618	41	4,018	559	15,421	142	12,876	2,403	290	5	62	223	16,668	153	16,515
2019	기타	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12	-	12
