,정류소번호,정류소명,X좌표,Y좌표,자치구
98,01200,안국역.종로경찰서.인사동,126.9842425956,37.5757849018,종로구
99,01201,조계사,126.9832244185,37.5723660209,종로구
100,01202,조계사,126.9828258888,37.5724858087,종로구
101,01203,안국동,126.9827201116,37.5746105669,종로구
102,01204,종로5가.효제동.김상옥의거터,127.00223000000001,37.5745,종로구
103,01205,종로5가.효제초등학교,127.0021442279,37.572879013299996,종로구
104,01212,종로5가,127.00218265219999,37.5705596025,종로구
105,01213,청계6가.동대문시장,127.00284942030001,37.569835110300005,종로구
106,01214,동대문,127.00841262520001,37.5717262368,종로구
107,01215,충신동,127.006278812,37.5740223509,종로구
108,01217,충신동,127.0063433807,37.5744602778,종로구
109,01218,현대그룹빌딩,127.000533,37.575873,종로구
110,01219,통신대(이화장),127.00243700000001,37.578043,종로구
111,01220,혜화역.마로니에공원,127.0022769364,37.5811194873,종로구
112,01221,혜화역.서울대병원입구,127.0019395272,37.581063625700004,종로구
113,01222,통신대(이화장),127.0019937965,37.5781296741,종로구
114,01223,이화동(이화장),127.0006951494,37.576119355,종로구
115,01224,창경궁.서울대학교병원,126.9968717143,37.5788279947,종로구
116,01225,이화동(이화장),127.00327081719999,37.575937291399995,종로구
117,01226,혜화동로터리,127.0007246792,37.5857646257,종로구
118,01227,명륜동2가.성균관대입구,126.99939876229999,37.5833334862,종로구
119,01228,혜화역.서울연극센터(장면총리가옥),127.0013281701,37.584022814,종로구
120,01229,혜화역.동성중고(장면총리가옥),127.00171768870001,37.5845697705,종로구
121,01231,종로구민회관.창신동두산아파트,127.0155555279,37.5740926792,종로구
122,01235,동묘역앞,127.0156014431,37.571684956599995,종로구
123,01236,동묘역앞,127.0158879092,37.5718984771,종로구
124,01237,청계2가교차로,126.98787787049999,37.5684809008,종로구
125,01238,창신3동주민센터,127.015178,37.578413,종로구
126,01239,숭인1동주민센터,127.0155485759,37.5787720457,종로구
127,01240,동묘역.롯데캐슬천지인,127.0158023517,37.5741800523,종로구
128,01243,신설동로터리,127.0227802373,37.5759288312,종로구
129,01245,동묘앞,127.0178163138,37.573729219899995,종로구
130,01246,구기동현대빌라,126.956622,37.609682,종로구
131,01247,광장시장,126.99774379459998,37.5694963125,종로구
132,01249,혜화경찰서,126.9974787875,37.5725807445,종로구
133,01250,서울역사박물관.김구집무실(경교장),126.97213180770001,37.5699003386,종로구
134,01251,청계3가.관수교,126.9937793705,37.5686887917,종로구
135,01252,청계6가.버들다리,127.0080377075,37.569930386799996,종로구
136,01253,청계7가.맑은내다리,127.0129554377,37.5699975315,종로구
137,01254,청계8가.영도교,127.0182311268,37.5709465856,종로구
138,01256,원남동사거리,126.99821468389999,37.5757228744,종로구
139,01262,숭인동,127.0204373408,37.5742721533,종로구
140,01267,조계사,126.9831609226,37.572800338,종로구
141,01272,세종문화회관,126.9763658004,37.5733335205,종로구
142,01277,이화동(이화장),127.002955,37.576257,종로구
143,01278,상명대정문,126.95502071780001,37.6016197182,종로구
144,01279,이북오도청,126.95588829729999,37.6130503244,종로구
145,01286,상명대입구.세검정교회,126.9597921957,37.5994435122,종로구
146,01287,상명대입구.석파랑,126.95819414040001,37.5995718125,종로구
147,01288,종로중부새마을금고,127.0065911394,37.5724174899,종로구
148,01289,신설동로터리.신한은행앞.서울풍물시장,127.02311827690001,37.574386097399994,종로구
149,01291,청계2가.삼일교,126.9872214307,37.5684458702,종로구
150,01292,청계8가.황학교,127.0227870051,37.5721307298,종로구
151,01293,평창동삼성아파트,126.97836799999999,37.610966999999995,종로구
152,01294,안국역.종로경찰서.인사동,126.98553654860001,37.5763329308,종로구
153,01295,안국역.종로경찰서.인사동,126.984768262,37.5764011758,종로구
154,01296,창덕궁,126.9890031166,37.5772280879,종로구
155,01297,남인사마당,126.9874286375,37.5713191723,종로구
156,01500,평창파출소,126.96681670209999,37.605681218,종로구
