,자치구,ps_score
0,종로구,5.829208841991727
1,중구,5.586539500171762
2,용산구,2.696567979469161
3,성동구,2.512516135129459
4,광진구,2.2665924337138983
5,동대문구,1.9874363826270034
6,중랑구,2.158720697606866
7,성북구,2.391739704305933
8,강북구,2.816989586525772
9,도봉구,2.696546728798489
10,노원구,2.7358767974630798
11,은평구,2.4583336632115356
12,서대문구,2.5565877718683194
13,마포구,3.054173704527804
14,양천구,2.3690126624851278
15,강서구,2.7553123672275723
16,구로구,2.6589426886534366
17,금천구,2.7830209376262056
18,영등포구,2.996813911458938
19,동작구,2.1971035973667545
20,관악구,2.17335102646131
21,서초구,3.6176577744842295
22,강남구,4.59829935164617
23,송파구,2.868144470755911
24,강동구,3.063722054524949
