,자치구,ps_score
0,종로구,6.808935308546475
1,중구,6.229121384365472
2,용산구,2.732079326253632
3,성동구,2.5510289564234174
4,광진구,2.530615965405638
5,동대문구,2.1127054667901275
6,중랑구,2.3140940901961784
7,성북구,2.3950744348493815
8,강북구,2.9873853659875937
9,도봉구,2.7306808079901046
10,노원구,2.7358767974630798
11,은평구,2.471642911710974
12,서대문구,2.5838440345665807
13,마포구,3.3085406199195844
14,양천구,2.441485094307721
15,강서구,2.852349979757343
16,구로구,2.7632882177193214
17,금천구,2.9595634696610498
18,영등포구,3.315887190410926
19,동작구,2.2524156915613887
20,관악구,2.252062474279084
21,서초구,3.937940079232824
22,강남구,5.0057770494195095
23,송파구,3.0560260893516498
24,강동구,3.1863537821245402
