,자치구,공원면적,교육,청결심각수준,소음민원,의료기관,치안방범,문화시설수,상업시설수,보행안전,주차시설,대중교통
0,종로구,1.0,0.2072739302711083,0.0,0.505638461808193,0.017520982046886964,0.10248655577797704,1.0,0.5101256532616775,0.7563295353497959,0.7298337234760888,1.0000000000000002
1,중구,0.28865979381443296,0.7525968981103683,0.002362346684704253,0.3674460570074308,0.012767812514671843,0.0,0.24621717355641262,1.0000000000000002,1.0,1.0,0.9164894184837408
2,용산구,0.05596465390279822,0.08298488169014806,0.5111633764225273,0.7364340425356017,0.0,0.03780628368831429,0.05236159230263995,0.11398466418645048,0.4515878733366783,0.302983974412004,0.3512966369919983
3,성동구,0.09572901325478644,0.12226743695247055,0.6319793233342649,0.7302683905087622,0.008060518516809605,0.031041800601691125,0.024171365906091917,0.06952367618091379,0.2779598333364525,0.14148103185605626,0.3800337446811596
4,광진구,0.08394698085419733,0.08554803002930722,0.8169312001835252,0.5629098607167272,0.05831494214292283,0.07292022812187847,0.034626362381740716,0.05162438734796096,0.20890154701045316,0.1271511882177682,0.16371770670741706
5,동대문구,0.0,0.05674150134664735,0.7599399197612824,0.5717762952802912,0.03132554661664708,0.062093016652584286,0.007010529102020236,0.10023965045699498,0.16684611729902424,0.13432450289074202,0.09713930322076957
6,중랑구,0.13843888070692195,0.09069171012723633,0.7897888290866194,0.7397339603565127,0.03320675623397488,0.06255042466470054,0.001036240740738111,0.023755260576661205,0.15042466029057347,0.057806171201888114,0.07128780362103876
7,성북구,0.2179675994108984,0.09754794545820278,0.7825577480379156,0.7147085652080585,0.040576492960334117,0.20110574223875224,0.025857571701112934,0.012905099997017264,0.07454822295587152,0.056824775516696076,0.16713994082107386
8,강북구,0.6126656848306332,0.0,0.7599625163386228,0.6760827010252585,0.08346216290693327,0.1906022909670118,0.012960156629457213,0.023252139795373147,0.21142560027091087,0.11505032522783312,0.13152600853373778
9,도봉구,0.3902798232695139,0.08763675117619174,0.8257879076658888,0.9573942284724402,0.029088354594745607,0.005305633976478243,0.01204223428918266,0.0033025190204337,0.24252326336279936,0.08781099759737485,0.055375015373439716
10,노원구,0.3416789396170839,0.044066312171999855,0.9758474711992896,0.9703129993491136,0.10088240700927,0.15647946978094612,0.009667449859277054,0.0,0.036058326813309366,0.0014141673287577372,0.09946925433403236
11,은평구,0.3740795287187039,0.20530925605582973,0.9294715968346771,0.5650607035577504,0.054955275493000576,0.14772095735191068,0.002266315308920292,0.00589425494595458,0.0657789093166867,0.01368275656388282,0.0941141090642188
12,서대문구,0.18262150220913104,0.1152186735396602,0.7281263403070282,0.6312905372640533,0.03272780412825909,0.12076045045248085,0.03576722849626889,0.033873209323261516,0.27354808961864,0.14044745712786966,0.2622064794016664
13,마포구,0.117820324005891,0.38693232854702186,0.7942310099893362,0.5682436544213313,0.1034800620328796,0.15209439087475354,0.08271076805206014,0.10516868421440023,0.1937829590707881,0.1443201353974298,0.4053893879219125
14,양천구,0.041237113402061855,0.2572555858829413,0.9466055779028648,0.8012346160012545,0.06485967837136189,0.14439091692442416,0.004617858685969796,0.015937126353647676,0.07774477589505878,0.015129413065543138,0.0
15,강서구,0.05596465390279822,0.3308616437340842,0.9840917151673044,1.0,0.128898243318821,0.09689696926624226,0.0019190645726143624,0.030788870664410967,0.02640710430609286,0.0004329148013005324,0.0990511874939039
16,구로구,0.060382916053019126,0.2905389994674153,0.8081602704604283,0.8564749949489967,0.047224274361294935,0.12858952354133366,0.01527231541870104,0.08085058629536934,0.1417083522314119,0.06798944654294772,0.16175100933251854
17,금천구,0.0780559646539028,0.29420544129333903,0.5090503471827872,0.7698486307302275,0.011292564962789284,0.02140116963780651,0.019434833716220148,0.12327654578840072,0.41064556934143137,0.2931083320431157,0.2527015382761857
18,영등포구,0.060382916053019126,0.4742674052602627,0.7395314444092695,0.7805423489690556,0.07781780042683528,0.08108653028348768,0.01935430227623857,0.11147068079476011,0.14495984199321207,0.09596439312164534,0.4114362478711515
19,동작구,0.11340206185567007,0.005630814366529235,0.9073975079182816,0.7098480757421668,0.03484545019731778,0.07340968666679576,0.003422439060696686,0.016815015727518992,0.1592274450385999,0.07355397714379508,0.09955112364938262
20,관악구,0.26067746686303384,0.056967007947398174,0.9166697541800288,0.517141890377013,0.08103478138243078,0.2258805093852406,0.0,0.010638364802515163,0.06360900813402806,0.026240174738029483,0.014492068651592346
21,서초구,0.4933726067746686,0.5979050188109439,0.9003553693298502,0.6536617559182673,0.12216538981231798,0.0984590462426413,0.06351265148112983,0.11685665171712581,0.12545375914194734,0.0831488492972457,0.3627666759580915
22,강남구,0.1251840942562592,1.0,0.9421270409141907,0.0,1.0,1.0,0.07341756065007099,0.1501011329251601,0.04714045466074149,0.06483693447063335,0.1954921337691148
23,송파구,0.04860088365243003,0.2518863152470655,1.0,0.88034493023516,0.26046830448201025,0.27937484204750074,0.017379729548553983,0.05885248356668757,0.0,0.0,0.07123698197650312
24,강동구,0.06185567010309277,0.0752780496903599,0.8576756301404322,0.8730354715074441,0.3353794626954821,0.5592950584886572,0.011010934309900074,0.04105588482001701,0.09226104353453482,0.07119109674335825,0.08568375249167018
